t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,8232.30,HIGH,RECURRING,LOW,1,1,0,0
0,1,11529.04,HIGH,RECURRING,LOW,4,0,0,0
0,2,20785.02,HIGH,NEW,HIGH,1,1,1,0
0,3,12691.60,HIGH,NEW,LOW,0,3,0,0
0,4,10404.70,HIGH,NEW,LOW,2,1,0,0
0,5,4357.82,HIGH,NEW,HIGH,1,0,0,0
0,6,9032.60,HIGH,RECURRING,LOW,0,0,0,1
1,0,11625.29,HIGH,NEW,HIGH,1,0,1,0
1,1,4388.68,HIGH,NEW,HIGH,1,0,0,0
1,2,3194.00,HIGH,RECURRING,LOW,1,0,0,0
1,3,15570.75,HIGH,NEW,HIGH,2,1,0,0
1,4,10105.45,HIGH,NEW,LOW,1,0,1,0
1,5,18737.70,HIGH,RECURRING,LOW,2,1,0,1
1,6,33015.42,HIGH,NEW,HIGH,2,1,0,1
1,7,4960.15,HIGH,NEW,LOW,0,1,0,0
1,8,6724.91,HIGH,RECURRING,LOW,1,1,0,0
1,9,24633.10,HIGH,RECURRING,HIGH,2,0,0,1
2,0,4491.80,HIGH,RECURRING,HIGH,1,0,0,0
2,1,8858.57,HIGH,RECURRING,HIGH,2,0,0,0
2,2,3889.81,HIGH,NEW,HIGH,1,0,0,0
3,0,8220.86,HIGH,RECURRING,LOW,1,1,0,0
3,1,13459.18,HIGH,RECURRING,HIGH,3,0,0,0
4,0,21337.04,HIGH,RECURRING,HIGH,1,2,0,0
4,1,2475.75,HIGH,RECURRING,LOW,1,0,0,0
5,0,15796.55,HIGH,NEW,LOW,3,0,0,1
5,1,32540.77,HIGH,RECURRING,HIGH,1,1,2,0
5,2,7227.82,HIGH,RECURRING,LOW,1,1,0,0
5,3,8483.86,HIGH,NEW,LOW,1,1,0,0
5,4,6323.57,HIGH,NEW,HIGH,0,1,0,0
5,5,8953.87,HIGH,NEW,LOW,1,0,1,0
5,6,15380.14,HIGH,NEW,HIGH,2,1,0,0
6,0,15061.78,HIGH,NEW,LOW,1,2,0,0
6,1,12759.84,HIGH,RECURRING,LOW,2,0,1,0
6,2,18952.25,HIGH,RECURRING,HIGH,2,1,0,0
7,0,20730.89,HIGH,NEW,LOW,2,1,0,1
7,1,27204.67,HIGH,NEW,HIGH,0,2,1,0
7,2,12688.60,HIGH,NEW,HIGH,1,1,0,0
7,3,25652.25,HIGH,NEW,HIGH,0,2,0,1
7,4,2889.86,HIGH,NEW,LOW,1,0,0,0
8,0,36429.49,HIGH,RECURRING,HIGH,2,1,0,1
8,1,7365.08,HIGH,NEW,LOW,1,1,0,0
8,2,4553.36,HIGH,RECURRING,HIGH,1,0,0,0
8,3,6191.46,HIGH,RECURRING,LOW,0,0,1,0
8,4,13448.09,HIGH,NEW,HIGH,1,0,1,0
8,5,5259.88,HIGH,NEW,HIGH,1,0,0,0
9,0,5506.71,HIGH,NEW,LOW,0,0,1,0
9,1,2968.85,HIGH,RECURRING,LOW,1,0,0,0
9,2,3065.19,HIGH,NEW,LOW,1,0,0,0
9,3,16301.97,HIGH,RECURRING,LOW,2,1,0,1
10,0,21402.38,HIGH,NEW,LOW,1,0,3,0
11,0,16680.25,HIGH,RECURRING,HIGH,1,0,0,1
11,1,8095.89,HIGH,RECURRING,LOW,3,0,0,0
11,2,5040.22,HIGH,NEW,LOW,2,0,0,0
11,3,11124.88,HIGH,NEW,LOW,1,2,0,0
11,4,2509.66,HIGH,NEW,LOW,1,0,0,0
12,0,2955.06,HIGH,NEW,LOW,1,0,0,0
12,1,5021.08,HIGH,NEW,LOW,0,1,0,0
