t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,15059.37,HIGH,NEW,HIGH,4,0,0,0
0,1,6518.36,HIGH,NEW,HIGH,0,0,1,0
0,2,3341.51,HIGH,NEW,HIGH,1,0,0,0
0,3,16632.92,HIGH,NEW,HIGH,0,1,0,1
1,0,3408.46,HIGH,NEW,HIGH,1,0,0,0
1,1,7554.77,HIGH,NEW,HIGH,2,0,0,0
1,2,3468.78,HIGH,NEW,HIGH,1,0,0,0
2,0,10828.69,HIGH,NEW,HIGH,1,1,0,0
2,1,13932.26,HIGH,NEW,HIGH,0,2,0,0
3,0,31831.38,HIGH,NEW,HIGH,1,1,2,1
3,1,27591.95,HIGH,NEW,HIGH,0,2,2,0
3,2,15873.46,HIGH,NEW,HIGH,1,0,0,1
3,3,12699.90,HIGH,NEW,HIGH,0,0,0,1
3,4,3778.25,HIGH,NEW,HIGH,1,0,0,0
3,5,19276.75,HIGH,NEW,HIGH,1,0,1,1
4,0,3705.89,HIGH,NEW,HIGH,1,0,0,0
4,1,8480.47,HIGH,NEW,HIGH,1,1,0,0
4,2,9534.98,HIGH,NEW,HIGH,3,0,0,0
5,0,10356.66,HIGH,NEW,HIGH,1,1,0,0
5,1,7033.73,HIGH,NEW,HIGH,0,0,1,0
6,0,10068.08,HIGH,NEW,HIGH,0,0,0,1
6,1,7580.89,HIGH,NEW,HIGH,0,0,1,0
6,2,3685.26,HIGH,NEW,HIGH,1,0,0,0
6,3,7250.65,HIGH,NEW,HIGH,0,0,1,0
7,0,19343.03,HIGH,NEW,HIGH,3,0,1,0
7,1,3355.19,HIGH,NEW,HIGH,1,0,0,0
8,0,3248.25,HIGH,NEW,HIGH,1,0,0,0
8,1,12980.51,HIGH,NEW,HIGH,2,1,0,0
8,2,10102.90,HIGH,NEW,HIGH,0,0,0,1
9,0,23289.22,HIGH,NEW,HIGH,2,0,1,1
9,1,10862.46,HIGH,NEW,HIGH,1,1,0,0
9,2,10052.81,HIGH,NEW,HIGH,1,1,0,0
10,0,11081.63,HIGH,NEW,HIGH,1,1,0,0
10,1,16016.90,HIGH,NEW,HIGH,1,2,0,0
10,2,9288.65,HIGH,NEW,HIGH,1,0,1,0
10,3,19923.89,HIGH,NEW,HIGH,2,0,0,1
10,4,30785.37,HIGH,NEW,HIGH,3,1,0,1
11,0,18290.88,HIGH,NEW,HIGH,2,0,0,1
12,0,10981.95,HIGH,NEW,HIGH,1,1,0,0
12,1,13279.83,HIGH,NEW,HIGH,2,1,0,0
13,0,10187.02,HIGH,NEW,HIGH,1,1,0,0
13,1,10042.61,HIGH,NEW,HIGH,1,1,0,0
13,2,20453.58,HIGH,NEW,HIGH,1,0,1,1
13,3,22054.02,HIGH,NEW,HIGH,2,1,1,0
13,4,15186.64,HIGH,NEW,HIGH,1,1,1,0
13,5,3460.63,HIGH,NEW,HIGH,1,0,0,0
14,0,7575.91,HIGH,NEW,HIGH,2,0,0,0
14,1,10202.96,HIGH,NEW,HIGH,1,1,0,0
14,2,18866.32,HIGH,NEW,HIGH,0,1,0,1
14,3,3872.65,HIGH,NEW,HIGH,1,0,0,0
14,4,10158.52,HIGH,NEW,HIGH,1,1,0,0
16,0,15690.93,HIGH,NEW,HIGH,4,0,0,0
16,1,3936.63,HIGH,NEW,HIGH,1,0,0,0
17,0,3847.19,HIGH,NEW,HIGH,1,0,0,0
18,0,5710.08,HIGH,NEW,HIGH,0,1,0,0
18,1,18299.95,HIGH,NEW,HIGH,0,1,0,1
18,2,3931.95,HIGH,NEW,HIGH,1,0,0,0
18,3,6122.20,HIGH,NEW,HIGH,0,0,1,0
18,4,8910.94,HIGH,NEW,HIGH,1,0,1,0
18,5,5860.26,HIGH,NEW,HIGH,0,1,0,0
18,6,3933.37,HIGH,NEW,HIGH,1,0,0,0
19,0,3181.91,HIGH,NEW,HIGH,1,0,0,0
19,1,14799.92,HIGH,NEW,HIGH,1,0,0,1
19,2,17382.23,HIGH,NEW,HIGH,0,1,0,1
19,3,3829.64,HIGH,NEW,HIGH,1,0,0,0
19,4,19775.55,HIGH,NEW,HIGH,0,1,0,1
20,0,17851.94,HIGH,NEW,HIGH,2,0,0,1
20,1,31361.32,HIGH,NEW,HIGH,1,1,0,2
21,0,3413.08,HIGH,NEW,HIGH,1,0,0,0
21,1,12356.33,HIGH,NEW,HIGH,0,1,1,0
21,2,19636.73,HIGH,NEW,HIGH,2,1,1,0
21,3,18322.26,HIGH,NEW,HIGH,3,1,0,0
22,0,6395.45,HIGH,NEW,HIGH,0,0,1,0
22,1,35839.84,HIGH,NEW,HIGH,4,0,0,2
23,0,11795.39,HIGH,NEW,HIGH,0,1,1,0
23,1,6065.05,HIGH,NEW,HIGH,2,0,0,0
23,2,3994.19,HIGH,NEW,HIGH,1,0,0,0
23,3,19729.55,HIGH,NEW,HIGH,2,0,0,1
23,4,11846.78,HIGH,NEW,HIGH,0,0,0,1
24,0,15376.08,HIGH,NEW,HIGH,1,0,0,1
25,0,15733.79,HIGH,NEW,HIGH,2,0,0,1
25,1,31105.51,HIGH,NEW,HIGH,2,2,0,1
25,2,11899.38,HIGH,NEW,HIGH,0,0,0,1
25,3,17426.94,HIGH,NEW,HIGH,1,2,0,0
25,4,22904.43,HIGH,NEW,HIGH,2,1,0,1
25,5,17080.50,HIGH,NEW,HIGH,2,2,0,0
26,0,14741.75,HIGH,NEW,HIGH,2,1,0,0
