t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,3391.96,HIGH,NEW,LOW,1,0,0,0
0,1,20158.24,HIGH,NEW,LOW,3,0,0,1
1,0,27497.26,HIGH,RECURRING,LOW,0,2,2,0
1,1,21762.09,HIGH,NEW,HIGH,0,0,0,2
1,2,2737.71,HIGH,RECURRING,LOW,1,0,0,0
2,0,3522.14,HIGH,NEW,HIGH,1,0,0,0
3,0,17868.31,HIGH,NEW,HIGH,0,1,0,1
3,1,10981.63,HIGH,RECURRING,LOW,4,0,0,0
3,2,11888.04,HIGH,NEW,LOW,1,1,1,0
3,3,5739.98,HIGH,RECURRING,HIGH,2,0,0,0
4,0,20054.98,HIGH,RECURRING,LOW,0,2,1,0
4,1,14629.62,HIGH,NEW,LOW,1,1,1,0
4,2,24346.37,HIGH,NEW,HIGH,0,1,2,1
4,3,9066.37,HIGH,RECURRING,LOW,1,0,1,0
5,0,4733.70,HIGH,NEW,LOW,0,1,0,0
6,0,7345.62,HIGH,NEW,HIGH,1,1,0,0
7,0,7171.58,HIGH,NEW,LOW,2,0,0,0
7,1,6320.28,HIGH,NEW,LOW,2,0,0,0
8,0,13984.41,HIGH,NEW,LOW,2,0,1,0
9,0,13802.16,HIGH,NEW,HIGH,0,0,2,0
9,1,25560.52,HIGH,RECURRING,HIGH,0,1,1,1
10,0,13441.67,HIGH,RECURRING,LOW,0,2,0,0
10,1,35713.56,HIGH,NEW,HIGH,2,2,3,0
10,2,17686.15,HIGH,RECURRING,LOW,1,0,1,1
11,0,3593.94,HIGH,RECURRING,LOW,1,0,0,0
11,1,5526.45,HIGH,RECURRING,LOW,0,1,0,0
11,2,10110.40,HIGH,NEW,LOW,2,0,1,0
11,3,11430.02,HIGH,NEW,LOW,0,0,0,1
12,0,7181.05,HIGH,RECURRING,HIGH,1,1,0,0
12,1,22366.83,HIGH,NEW,HIGH,2,2,1,0
13,0,8864.48,HIGH,NEW,LOW,1,0,1,0
13,1,7096.99,HIGH,NEW,LOW,2,0,0,0
13,2,2920.63,HIGH,RECURRING,HIGH,1,0,0,0
13,3,17322.59,HIGH,RECURRING,LOW,3,1,0,0
13,4,16465.12,HIGH,NEW,HIGH,2,0,0,1
13,5,7095.39,HIGH,NEW,HIGH,2,0,0,0
14,0,4640.55,HIGH,NEW,HIGH,0,1,0,0
14,1,13868.76,HIGH,NEW,LOW,0,1,1,0
15,0,29176.78,HIGH,NEW,LOW,1,0,1,2
15,1,13469.81,HIGH,RECURRING,LOW,3,1,0,0
15,2,6379.15,HIGH,NEW,LOW,2,0,0,0
15,3,17493.30,HIGH,NEW,HIGH,0,2,1,0
16,0,10514.28,HIGH,RECURRING,HIGH,0,0,0,1
16,1,3540.75,HIGH,NEW,LOW,1,0,0,0
17,0,15275.39,HIGH,NEW,HIGH,1,0,2,0
17,1,5650.10,HIGH,NEW,HIGH,2,0,0,0
17,2,3261.64,HIGH,NEW,HIGH,1,0,0,0
18,0,8106.07,HIGH,NEW,LOW,0,0,0,1
18,1,11344.20,HIGH,NEW,LOW,0,0,0,1
18,2,13366.84,HIGH,RECURRING,LOW,2,0,1,0
18,3,4509.72,HIGH,NEW,LOW,0,1,0,0
19,0,6052.99,HIGH,RECURRING,LOW,0,1,0,0
19,1,3012.85,HIGH,NEW,LOW,1,0,0,0
20,0,2690.62,HIGH,RECURRING,HIGH,1,0,0,0
20,1,18683.42,HIGH,NEW,HIGH,4,1,0,0
21,0,3109.11,HIGH,NEW,LOW,1,0,0,0
21,1,7035.25,HIGH,NEW,LOW,2,0,0,0
21,2,3492.30,HIGH,NEW,HIGH,1,0,0,0
22,0,6882.77,HIGH,RECURRING,HIGH,2,0,0,0
22,1,13076.90,HIGH,RECURRING,LOW,2,0,1,0
23,0,7567.18,HIGH,NEW,HIGH,1,1,0,0
23,1,22801.40,HIGH,NEW,LOW,2,1,0,1
23,2,5985.27,HIGH,RECURRING,LOW,0,1,0,0
23,3,9335.60,HIGH,NEW,LOW,1,1,0,0
23,4,5286.59,HIGH,RECURRING,LOW,0,0,1,0
24,0,23769.75,HIGH,NEW,HIGH,1,1,1,1
24,1,11604.28,HIGH,NEW,HIGH,0,1,1,0
24,2,3155.70,HIGH,RECURRING,LOW,1,0,0,0
24,3,10747.67,HIGH,NEW,LOW,0,2,0,0
24,4,11750.77,HIGH,NEW,LOW,2,0,1,0
25,0,10618.95,HIGH,RECURRING,LOW,0,0,0,1
25,1,9315.29,HIGH,NEW,LOW,0,1,1,0
25,2,2724.65,HIGH,NEW,LOW,1,0,0,0
25,3,14858.22,HIGH,RECURRING,HIGH,3,1,0,0
26,0,7178.45,HIGH,NEW,HIGH,2,0,0,0
26,1,2865.40,HIGH,RECURRING,LOW,1,0,0,0
26,2,13265.68,HIGH,RECURRING,LOW,2,0,1,0
26,3,9364.31,HIGH,NEW,LOW,1,1,0,0
27,0,16119.91,HIGH,NEW,LOW,1,1,0,1
27,1,14068.33,HIGH,NEW,HIGH,1,0,0,1
27,2,17341.18,HIGH,NEW,LOW,1,0,2,0
27,3,3359.19,HIGH,NEW,LOW,1,0,0,0
28,0,25650.59,HIGH,RECURRING,LOW,1,2,2,0
28,1,8199.38,HIGH,NEW,LOW,1,0,1,0
28,2,15411.81,HIGH,RECURRING,LOW,1,2,0,0
29,0,9524.68,HIGH,RECURRING,LOW,2,1,0,0
29,1,24989.39,HIGH,NEW,LOW,0,0,1,2
29,2,12891.04,HIGH,RECURRING,HIGH,0,1,1,0
29,3,15889.27,HIGH,NEW,HIGH,2,0,0,1
30,0,17264.58,HIGH,NEW,HIGH,0,2,1,0
30,1,9309.00,HIGH,RECURRING,LOW,1,1,0,0
31,0,7938.14,HIGH,NEW,LOW,1,0,1,0
31,1,30299.35,HIGH,NEW,LOW,2,2,0,1
32,0,21985.76,HIGH,NEW,HIGH,1,1,0,1
32,1,10435.48,HIGH,RECURRING,HIGH,0,1,1,0
32,2,13757.67,HIGH,RECURRING,LOW,2,1,0,0
33,0,10207.72,HIGH,RECURRING,HIGH,1,1,0,0
33,1,26376.17,HIGH,NEW,LOW,2,3,0,0
33,2,12641.42,HIGH,NEW,LOW,0,1,1,0
33,3,13872.56,HIGH,NEW,LOW,2,1,0,0
34,0,8047.27,HIGH,RECURRING,LOW,1,1,0,0
34,1,3092.77,HIGH,NEW,HIGH,1,0,0,0
34,2,10631.19,HIGH,NEW,HIGH,3,0,0,0
35,0,14324.36,HIGH,NEW,HIGH,0,0,2,0
35,1,9323.57,HIGH,NEW,LOW,1,1,0,0
35,2,6867.78,HIGH,RECURRING,LOW,0,0,1,0
35,3,10017.69,HIGH,NEW,LOW,0,0,0,1
36,0,19958.03,HIGH,NEW,LOW,3,0,2,0
36,1,13691.76,HIGH,RECURRING,HIGH,1,0,0,1
36,2,11217.07,HIGH,RECURRING,LOW,0,2,0,0
36,3,22809.28,HIGH,NEW,HIGH,0,0,1,2
37,0,6548.77,HIGH,NEW,HIGH,0,1,0,0
37,1,3069.46,HIGH,RECURRING,LOW,1,0,0,0
37,2,2999.26,HIGH,RECURRING,LOW,1,0,0,0
38,0,12304.18,HIGH,NEW,LOW,2,1,0,0
39,0,12630.15,HIGH,RECURRING,LOW,3,1,0,0
39,1,3050.01,HIGH,NEW,LOW,1,0,0,0
39,2,17487.78,HIGH,NEW,LOW,0,3,0,0
40,0,6387.42,HIGH,NEW,LOW,0,1,0,0
40,1,6439.61,HIGH,NEW,HIGH,2,0,0,0
40,2,17981.38,HIGH,NEW,HIGH,0,1,1,1
41,0,12047.22,HIGH,RECURRING,HIGH,3,1,0,0
41,1,8196.21,HIGH,RECURRING,LOW,0,0,0,1
42,0,21336.31,HIGH,RECURRING,HIGH,1,1,0,1
42,1,5935.85,HIGH,RECURRING,HIGH,0,1,0,0
42,2,14141.00,HIGH,NEW,LOW,0,1,0,1
42,3,21215.23,HIGH,NEW,LOW,0,0,0,2
42,4,7345.00,HIGH,NEW,HIGH,1,0,1,0
42,5,15293.09,HIGH,RECURRING,HIGH,2,0,2,0
43,0,4831.52,HIGH,NEW,LOW,0,0,1,0
43,1,6370.65,HIGH,RECURRING,HIGH,0,1,0,0
44,0,22823.19,HIGH,RECURRING,HIGH,1,0,3,0
45,0,13164.62,HIGH,RECURRING,LOW,0,2,0,0
45,1,14694.03,HIGH,RECURRING,LOW,1,0,0,1
45,2,13960.97,HIGH,RECURRING,HIGH,2,0,1,0
46,0,8953.57,HIGH,NEW,LOW,1,0,1,0
46,1,17929.17,HIGH,NEW,HIGH,2,1,0,1
47,0,22818.65,HIGH,NEW,HIGH,1,2,1,0
47,1,10170.48,HIGH,NEW,LOW,2,0,1,0
47,2,22630.43,HIGH,NEW,HIGH,2,1,0,1
48,0,5945.85,HIGH,RECURRING,HIGH,2,0,0,0
48,1,13654.54,HIGH,NEW,LOW,1,0,2,0
49,0,9913.95,HIGH,NEW,HIGH,1,0,1,0
50,0,9888.20,HIGH,NEW,HIGH,1,1,0,0
50,1,2935.28,HIGH,NEW,LOW,1,0,0,0
50,2,16507.73,HIGH,NEW,HIGH,0,1,0,1
51,0,19891.66,HIGH,NEW,LOW,2,3,0,0
51,1,18663.19,HIGH,RECURRING,LOW,0,1,0,1
51,2,10044.59,HIGH,NEW,LOW,0,0,0,1
51,3,6686.77,HIGH,NEW,LOW,2,0,0,0
51,4,19001.97,HIGH,NEW,HIGH,3,1,1,0
52,0,14521.85,HIGH,NEW,LOW,1,0,0,1
52,1,12669.14,HIGH,NEW,LOW,0,1,0,1
52,2,6605.81,HIGH,RECURRING,LOW,0,1,0,0
53,0,33749.86,HIGH,NEW,HIGH,2,1,3,0
54,0,7372.54,HIGH,NEW,HIGH,2,0,0,0
54,1,11526.60,HIGH,NEW,HIGH,0,1,1,0
54,2,5525.58,HIGH,NEW,LOW,2,0,0,0
54,3,14532.56,HIGH,NEW,LOW,0,3,0,0
54,4,5730.98,HIGH,RECURRING,LOW,2,0,0,0
54,5,27784.15,HIGH,NEW,LOW,1,1,0,2
55,0,11986.57,HIGH,RECURRING,LOW,2,0,1,0
55,1,18837.36,HIGH,NEW,LOW,2,2,0,0
55,2,10021.72,HIGH,RECURRING,HIGH,1,0,1,0
55,3,21335.14,HIGH,NEW,HIGH,1,1,2,0
55,4,19752.83,HIGH,RECURRING,HIGH,2,1,0,1
56,0,30349.87,HIGH,NEW,LOW,0,2,1,1
56,1,26003.35,HIGH,RECURRING,HIGH,2,1,0,2
57,0,12056.90,HIGH,NEW,HIGH,2,0,1,0
57,1,37869.30,HIGH,NEW,LOW,1,3,2,0
58,0,6647.71,HIGH,RECURRING,LOW,0,1,0,0
58,1,10442.95,HIGH,RECURRING,LOW,1,1,0,0
58,2,16587.83,HIGH,NEW,LOW,3,0,0,1
58,3,11041.24,HIGH,NEW,HIGH,3,0,0,0
59,0,15008.11,HIGH,NEW,LOW,1,2,0,0
59,1,16847.99,HIGH,NEW,HIGH,0,1,2,0
59,2,13593.95,HIGH,NEW,HIGH,2,0,1,0
59,3,9762.27,HIGH,NEW,HIGH,0,0,0,1
60,0,3630.25,HIGH,RECURRING,LOW,1,0,0,0
61,0,5408.13,HIGH,RECURRING,LOW,2,0,0,0
61,1,6411.29,HIGH,RECURRING,LOW,0,0,1,0
62,0,4952.78,HIGH,RECURRING,LOW,0,1,0,0
62,1,11732.46,HIGH,RECURRING,LOW,0,0,0,1
62,2,7842.78,HIGH,NEW,LOW,1,0,1,0
63,0,26241.19,HIGH,NEW,HIGH,1,1,2,1
64,0,14648.69,HIGH,NEW,HIGH,1,1,1,0
65,0,9657.58,HIGH,RECURRING,LOW,1,1,0,0
65,1,12686.49,HIGH,NEW,LOW,1,2,0,0
66,0,2704.97,HIGH,RECURRING,HIGH,1,0,0,0
67,0,16973.68,HIGH,RECURRING,HIGH,1,1,1,0
67,1,31749.56,HIGH,NEW,LOW,2,3,2,0
67,2,8171.16,HIGH,NEW,HIGH,1,1,0,0
68,0,11744.26,HIGH,RECURRING,LOW,0,0,0,1
68,1,10704.90,HIGH,RECURRING,HIGH,0,1,1,0
68,2,6227.15,HIGH,NEW,LOW,2,0,0,0
69,0,4579.03,HIGH,NEW,HIGH,0,1,0,0
69,1,20500.54,HIGH,RECURRING,HIGH,2,1,2,0
