period,num_arrivals
0,25
1,22
2,31
3,30
4,31
5,14
6,22
7,26
8,33
9,22
10,32
11,22
12,24
13,16
14,26
15,26
16,26
17,28
18,17
19,20
20,28
21,27
22,26
23,24
24,30
25,25
26,23
27,15
28,18
29,21
30,18
31,23
32,28
33,25
34,20
35,25
36,14
37,26
38,17
39,27
40,24
41,32
42,23
43,16
44,24
45,27
46,27
47,33
48,26
49,20
50,20
51,26
52,14
53,29
54,13
55,31
56,20
57,22
58,20
59,23
60,22
61,22
62,26
63,23
64,24
65,23
66,22
67,25
68,18
69,19
70,24
71,25
72,19
73,19
74,17
75,20
76,16
77,22
78,14
79,22
80,24
81,22
82,26
83,19
84,23
85,24
86,23
87,17
88,23
89,21
90,12
91,22
92,26
93,22
94,24
95,20
96,18
97,22
98,18
99,16
100,18
101,26
102,21
103,23
104,15
105,14
106,21
107,18
108,21
109,24
110,17
111,22
112,29
113,22
114,22
115,19
116,14
117,24
118,16
119,21
120,21
121,16
122,22
123,21
124,27
125,20
126,24
127,23
128,26
129,15
130,16
131,20
132,21
133,22
134,22
135,12
136,24
137,21
138,17
139,11
140,11
141,16
142,21
143,24
144,20
145,27
146,21
147,16
148,26
149,19
150,16
151,12
152,30
153,15
154,17
155,20
156,14
157,19
158,16
159,25
160,21
161,11
162,20
163,18
164,22
165,12
166,12
167,17
168,20
169,30
170,21
171,21
172,21
173,19
174,24
175,11
176,19
177,16
178,16
179,19
180,17
181,10
182,18
183,16
184,13
185,16
186,17
187,13
188,18
189,13
190,16
191,25
192,12
193,16
194,23
195,30
196,15
197,12
198,21
199,16
200,22
201,18
202,12
203,19
204,19
205,15
206,12
207,16
208,14
209,16
210,16
211,20
212,19
213,10
214,11
215,25
216,13
217,22
218,12
219,13
220,13
221,18
222,17
223,10
224,15
225,11
226,15
227,17
228,13
229,14
230,12
231,16
232,24
233,14
234,14
235,17
236,15
237,11
238,15
239,15
240,15
241,14
242,22
243,14
244,10
245,16
246,13
247,10
248,14
249,16
250,12
251,7
252,11
253,16
254,17
255,13
256,10
257,7
258,14
259,15
260,11
261,20
262,13
263,2
264,13
265,15
266,8
267,17
268,12
269,12
270,13
271,15
272,15
273,13
274,7
275,10
276,10
277,8
278,9
279,12
280,10
281,8
282,13
283,14
284,9
285,5
286,10
287,11
288,9
289,15
290,13
291,19
292,10
293,17
294,14
295,10
296,8
297,16
298,10
299,8
300,8
301,11
302,14
303,11
304,10
305,13
306,11
307,14
308,5
309,7
310,7
311,15
312,11
313,5
314,10
315,11
316,8
317,10
318,6
319,10
320,12
321,14
322,15
323,15
324,10
325,8
326,13
327,8
328,9
329,8
330,9
331,5
332,13
333,12
334,12
335,13
336,7
337,10
338,10
339,12
340,11
341,10
342,10
343,11
344,8
345,9
346,9
347,10
348,7
349,4
350,5
351,9
352,9
353,7
354,12
355,8
356,15
357,5
358,8
359,8
360,10
361,8
362,12
363,9
364,8
365,9
366,7
367,4
368,8
369,8
370,10
371,10
372,8
373,5
374,6
375,13
376,6
377,17
378,4
379,11
380,8
381,7
382,7
383,9
384,11
385,13
386,10
387,10
388,4
389,5
390,7
391,7
392,7
393,9
394,8
395,7
396,4
397,8
398,7
399,8
400,9
401,2
402,7
403,2
404,7
405,6
406,9
407,5
408,7
409,5
410,9
411,2
412,8
413,9
414,10
415,10
416,3
417,14
418,6
419,2
420,9
421,4
422,6
423,6
424,9
425,5
426,5
427,4
428,6
429,7
430,8
431,2
432,6
433,2
434,7
435,3
436,3
437,2
438,3
439,10
440,0
441,3
442,3
443,6
444,6
445,6
446,5
447,6
448,4
449,4
450,5
451,6
452,6
453,5
454,5
455,4
456,6
457,7
458,3
459,6
460,3
461,6
462,6
463,2
464,4
465,3
466,5
467,4
468,5
469,5
470,2
471,3
472,5
473,4
474,1
475,2
476,2
477,0
478,2
479,1
480,4
481,1
482,5
483,0
484,4
485,4
486,2
487,3
488,3
489,3
490,6
491,1
492,2
493,3
494,5
495,2
496,2
497,1
498,1
499,2
500,1
501,3
502,7
503,1
