t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,11587.45,LOW,NEW,HIGH,0,0,0,1
0,1,5049.46,LOW,RECURRING,LOW,0,0,1,0
1,0,21377.91,LOW,RECURRING,LOW,1,1,0,2
1,1,8456.73,LOW,RECURRING,HIGH,0,0,1,0
1,2,6623.81,LOW,RECURRING,HIGH,2,0,0,0
2,0,18084.00,LOW,RECURRING,HIGH,3,1,0,0
2,1,2279.88,LOW,RECURRING,LOW,1,0,0,0
3,0,8371.15,LOW,RECURRING,LOW,0,0,0,1
3,1,25226.94,LOW,NEW,HIGH,3,1,0,1
3,2,9148.57,LOW,NEW,LOW,0,1,1,0
3,3,7824.43,LOW,RECURRING,HIGH,0,0,1,0
3,4,7506.54,LOW,RECURRING,LOW,1,0,1,0
4,0,12460.70,LOW,NEW,HIGH,2,1,0,0
4,1,9652.68,LOW,RECURRING,LOW,0,2,0,0
4,2,14889.10,LOW,RECURRING,LOW,1,0,1,1
4,3,20692.24,LOW,NEW,LOW,0,1,0,2
5,0,6685.03,LOW,RECURRING,HIGH,2,0,0,0
5,1,5112.99,LOW,RECURRING,LOW,2,0,0,0
6,0,5808.65,LOW,RECURRING,LOW,1,1,0,0
6,1,8285.15,LOW,NEW,LOW,2,1,0,0
6,2,47337.34,LOW,NEW,HIGH,2,1,2,1
6,3,2692.17,LOW,NEW,LOW,1,0,0,0
6,4,9753.35,LOW,RECURRING,HIGH,1,1,0,0
6,5,9995.01,LOW,RECURRING,LOW,3,0,1,0
6,6,14018.34,LOW,NEW,HIGH,0,0,0,1
7,0,14028.79,LOW,NEW,HIGH,2,0,1,0
7,1,5302.86,LOW,RECURRING,LOW,2,0,0,0
8,0,11378.54,LOW,NEW,HIGH,0,0,0,1
8,1,4048.61,LOW,NEW,LOW,0,1,0,0
8,2,8041.41,LOW,NEW,LOW,4,0,0,0
8,3,21082.64,LOW,NEW,LOW,0,1,4,0
8,4,24979.47,LOW,RECURRING,HIGH,2,1,1,0
9,0,21102.89,LOW,NEW,HIGH,4,1,0,0
9,1,10645.85,LOW,NEW,HIGH,3,0,0,0
9,2,4278.00,LOW,RECURRING,LOW,0,0,1,0
9,3,12974.99,LOW,RECURRING,LOW,1,1,1,0
10,0,14526.33,LOW,RECURRING,HIGH,2,1,0,0
10,1,8748.90,LOW,RECURRING,HIGH,2,0,0,0
10,2,6499.86,LOW,RECURRING,HIGH,2,0,0,0
11,0,4736.57,LOW,NEW,LOW,2,0,0,0
11,1,14270.57,LOW,NEW,LOW,3,1,1,0
12,0,4696.32,LOW,NEW,LOW,0,1,0,0
12,1,9204.05,LOW,NEW,LOW,2,1,0,0
12,2,10328.03,LOW,NEW,HIGH,1,0,1,0
12,3,12630.34,LOW,NEW,LOW,2,0,0,1
