t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,22447.07,LOW,RECURRING,HIGH,1,0,1,1
0,1,5206.77,LOW,RECURRING,HIGH,0,0,1,0
3,0,1813.85,LOW,NEW,LOW,1,0,0,0
4,0,3436.97,LOW,RECURRING,LOW,0,1,0,0
4,1,11652.23,LOW,NEW,LOW,3,0,1,0
5,0,11251.99,LOW,NEW,HIGH,1,0,2,0
6,0,16872.27,LOW,NEW,LOW,3,1,1,1
8,0,3474.76,LOW,RECURRING,LOW,0,1,0,0
9,0,8328.99,LOW,NEW,LOW,0,2,0,0
13,0,8304.74,LOW,RECURRING,HIGH,1,0,1,0
14,0,11712.91,LOW,NEW,LOW,3,2,0,0
14,1,6298.13,LOW,RECURRING,LOW,2,0,1,0
20,0,9299.98,LOW,NEW,LOW,1,0,2,0
22,0,3728.56,LOW,NEW,LOW,2,0,0,0
22,1,5829.26,LOW,NEW,HIGH,0,0,1,0
23,0,1773.65,LOW,NEW,LOW,1,0,0,0
23,1,2661.89,LOW,NEW,LOW,0,1,0,0
24,0,27032.32,LOW,RECURRING,HIGH,2,1,1,1
25,0,2073.12,LOW,RECURRING,LOW,1,0,0,0
25,1,8584.39,LOW,NEW,LOW,2,0,0,1
26,0,10810.32,LOW,RECURRING,LOW,0,0,1,1
26,1,12155.52,LOW,NEW,HIGH,2,1,0,0
29,0,6909.82,LOW,NEW,LOW,0,2,0,0
29,1,1578.29,LOW,NEW,LOW,1,0,0,0
29,2,5367.74,LOW,NEW,LOW,1,1,0,0
30,0,17278.58,LOW,RECURRING,LOW,2,1,1,1
30,1,11377.79,LOW,NEW,LOW,2,1,1,0
30,2,9033.84,LOW,NEW,LOW,2,1,1,0
32,0,5347.75,LOW,RECURRING,LOW,1,0,1,0
33,0,6003.25,LOW,RECURRING,LOW,1,1,0,0
33,1,11378.03,LOW,RECURRING,LOW,0,1,1,1
33,2,12443.38,LOW,NEW,LOW,1,3,0,0
37,0,6599.79,LOW,NEW,LOW,4,0,0,0
38,0,7175.28,LOW,RECURRING,LOW,0,0,2,0
39,0,2578.12,LOW,RECURRING,LOW,0,1,0,0
39,1,6337.63,LOW,RECURRING,HIGH,2,0,0,0
39,2,5978.97,LOW,RECURRING,LOW,0,1,1,0
40,0,9815.53,LOW,NEW,HIGH,1,0,1,0
41,0,14083.95,LOW,NEW,LOW,0,1,1,1
42,0,8360.15,LOW,RECURRING,LOW,0,1,1,0
42,1,10521.82,LOW,RECURRING,LOW,2,1,1,0
44,0,1832.66,LOW,NEW,LOW,1,0,0,0
44,1,11987.95,LOW,NEW,LOW,5,0,1,0
45,0,12046.18,LOW,NEW,LOW,2,0,2,0
46,0,8168.69,LOW,NEW,HIGH,3,0,0,0
47,0,11116.92,LOW,NEW,LOW,2,1,1,0
47,1,3490.66,LOW,NEW,LOW,0,0,1,0
47,2,2317.54,LOW,NEW,LOW,1,0,0,0
47,3,7894.76,LOW,RECURRING,HIGH,1,1,0,0
48,0,10917.63,LOW,RECURRING,HIGH,1,1,0,0
49,0,4839.51,LOW,NEW,LOW,1,0,1,0
49,1,13943.50,LOW,RECURRING,LOW,3,2,0,0
50,0,2274.97,LOW,NEW,LOW,1,0,0,0
51,0,12829.27,LOW,RECURRING,LOW,3,1,1,0
51,1,17115.14,LOW,RECURRING,HIGH,2,2,0,0
51,2,8054.00,LOW,RECURRING,LOW,2,1,0,0
52,0,7198.79,LOW,RECURRING,LOW,0,0,2,0
53,0,8916.27,LOW,NEW,HIGH,1,0,1,0
53,1,3383.02,LOW,RECURRING,LOW,2,0,0,0
55,0,20064.02,LOW,RECURRING,HIGH,2,1,0,1
56,0,13250.17,LOW,RECURRING,LOW,1,3,0,0
57,0,35541.66,LOW,RECURRING,LOW,1,1,3,2
57,1,9219.21,LOW,NEW,LOW,0,2,0,0
57,2,23990.05,LOW,NEW,HIGH,1,0,1,2
57,3,4444.43,LOW,NEW,LOW,1,0,1,0
57,4,12333.62,LOW,NEW,LOW,2,2,1,0
58,0,3548.52,LOW,RECURRING,LOW,2,0,0,0
58,1,11884.13,LOW,NEW,LOW,2,1,0,1
60,0,4919.42,LOW,NEW,LOW,0,0,1,0
61,0,11450.77,LOW,NEW,LOW,3,0,0,1
61,1,3281.29,LOW,NEW,LOW,0,0,1,0
62,0,12488.09,LOW,NEW,HIGH,1,0,0,1
62,1,8358.25,LOW,RECURRING,HIGH,1,1,0,0
65,0,9408.50,LOW,NEW,LOW,0,1,0,1
65,1,28785.14,LOW,NEW,HIGH,5,2,0,0
66,0,8519.01,LOW,NEW,LOW,0,1,1,0
67,0,3203.29,LOW,RECURRING,HIGH,1,0,0,0
67,1,6896.25,LOW,RECURRING,LOW,3,0,0,0
68,0,6045.97,LOW,RECURRING,HIGH,2,0,0,0
69,0,5932.09,LOW,NEW,LOW,1,1,0,0
69,1,9219.07,LOW,RECURRING,LOW,1,1,1,0
69,2,7253.83,LOW,RECURRING,HIGH,3,0,0,0
70,0,3797.45,LOW,NEW,LOW,2,0,0,0
71,0,8452.27,LOW,NEW,LOW,1,1,1,0
72,0,12972.01,LOW,RECURRING,LOW,1,1,0,1
72,1,4174.58,LOW,NEW,LOW,1,0,1,0
73,0,10327.56,LOW,RECURRING,LOW,3,0,1,0
73,1,3457.05,LOW,RECURRING,LOW,2,0,0,0
73,2,15727.92,LOW,RECURRING,LOW,0,0,1,2
73,3,6662.63,LOW,NEW,LOW,4,0,0,0
74,0,7720.95,LOW,RECURRING,LOW,1,0,0,1
76,0,2508.15,LOW,RECURRING,HIGH,1,0,0,0
77,0,3707.57,LOW,RECURRING,LOW,2,0,0,0
78,0,5436.55,LOW,RECURRING,HIGH,0,0,1,0
79,0,14500.09,LOW,RECURRING,HIGH,3,0,1,0
79,1,8038.87,LOW,NEW,LOW,1,1,1,0
80,0,8226.62,LOW,RECURRING,LOW,2,0,1,0
81,0,1600.28,LOW,RECURRING,LOW,1,0,0,0
82,0,9357.39,LOW,NEW,LOW,1,1,1,0
82,1,5688.26,LOW,RECURRING,LOW,0,1,1,0
82,2,6526.00,LOW,NEW,LOW,3,0,0,0
84,0,8045.47,LOW,NEW,LOW,0,0,0,1
84,1,7234.84,LOW,RECURRING,LOW,0,2,0,0
84,2,2002.62,LOW,NEW,LOW,1,0,0,0
85,0,13416.42,LOW,RECURRING,LOW,3,1,1,0
