period,num_arrivals
0,1
1,1
2,2
3,1
4,4
5,0
6,4
7,3
8,1
9,2
10,1
11,1
12,2
13,2
14,2
15,3
16,3
17,6
18,1
19,3
20,3
21,2
22,1
23,0
24,2
25,4
26,0
27,4
28,3
29,5
30,7
31,2
32,3
33,3
34,3
35,2
36,4
37,4
38,5
39,3
40,2
41,4
42,2
43,6
44,3
45,1
46,2
47,14
48,7
49,12
50,1
51,4
52,7
53,5
54,6
55,7
56,3
57,4
58,3
59,2
60,6
61,4
62,4
63,5
64,5
65,5
66,9
67,5
68,6
69,10
70,8
71,5
72,5
73,9
74,4
75,5
76,8
77,3
78,6
79,6
80,5
81,5
82,3
83,5
84,5
85,6
86,5
87,11
88,5
89,4
90,6
91,4
92,5
93,6
94,6
95,3
96,5
97,2
98,7
99,5
100,4
101,10
102,6
103,5
104,7
105,5
106,7
107,5
108,6
109,1
110,6
111,7
112,8
113,2
114,12
115,6
116,4
117,5
118,5
119,9
120,6
121,6
122,7
123,3
124,9
125,7
126,10
127,6
128,9
129,4
130,5
131,5
132,10
133,8
134,8
135,4
136,7
137,6
138,5
139,10
140,9
141,13
142,12
143,12
144,6
145,10
146,6
147,8
148,13
149,10
150,5
151,4
152,5
153,3
154,7
155,4
156,6
157,12
158,10
159,5
160,3
161,10
162,7
163,7
164,4
165,7
166,5
167,17
168,12
169,9
170,19
171,8
172,7
173,7
174,9
175,9
176,11
177,11
178,4
179,3
180,18
181,17
182,8
183,8
184,4
185,11
186,9
187,11
188,16
189,8
190,8
191,9
192,10
193,12
194,11
195,6
196,14
197,13
198,8
199,9
200,12
201,8
202,15
203,7
204,11
205,16
206,11
207,9
208,16
209,15
210,12
211,8
212,16
213,14
214,16
215,11
216,6
217,14
218,6
219,16
220,16
221,10
222,17
223,9
224,12
225,15
226,13
227,11
228,10
229,15
230,8
231,19
232,12
233,15
234,15
235,23
236,16
237,16
238,13
239,15
240,19
241,18
242,19
243,9
244,18
245,14
246,15
247,11
248,14
249,12
250,9
251,18
252,9
253,15
254,13
255,16
256,19
257,4
258,12
259,15
260,14
261,15
262,19
263,11
264,12
265,11
266,14
267,13
268,17
269,11
270,10
271,23
272,12
273,16
274,13
275,13
276,18
277,15
278,21
279,15
280,15
281,23
282,19
283,13
284,11
285,13
286,22
287,15
288,15
289,12
290,13
291,11
292,16
293,12
294,13
295,17
296,17
297,16
298,15
299,22
300,20
301,17
302,12
303,16
304,15
305,11
306,17
307,11
308,12
309,15
310,19
311,25
312,19
313,13
314,14
315,14
316,12
317,16
318,15
319,23
320,14
321,15
322,21
323,21
324,15
325,14
326,16
327,14
328,16
329,16
330,19
331,20
332,18
333,20
334,12
335,25
336,16
337,26
338,14
339,22
340,16
341,20
342,14
343,21
344,13
345,17
346,18
347,22
348,12
349,12
350,19
351,14
352,18
353,18
354,17
355,24
356,15
357,28
358,15
359,10
360,16
361,14
362,19
363,18
364,23
365,21
366,19
367,21
368,23
369,10
370,23
371,17
372,22
373,15
374,17
375,20
376,16
377,21
378,15
379,19
380,20
381,17
382,14
383,19
384,13
385,19
386,16
387,24
388,20
389,21
390,29
391,19
392,15
393,17
394,23
395,21
396,23
397,20
398,26
399,18
400,18
401,30
402,20
403,23
404,24
405,22
406,30
407,18
408,20
409,13
410,18
411,27
412,15
413,24
414,17
415,17
416,15
417,22
418,16
419,27
420,24
421,25
422,18
423,29
424,20
425,24
426,24
427,16
428,16
429,30
430,22
431,23
432,27
433,18
434,25
435,22
436,20
437,18
438,18
439,28
440,21
441,23
442,24
443,16
444,16
445,24
446,30
447,20
448,20
449,22
450,26
451,28
452,20
453,25
454,25
455,25
456,17
457,20
458,27
459,26
460,22
461,25
462,34
463,25
464,28
465,20
466,28
467,15
468,22
469,20
470,24
471,22
472,28
473,23
474,19
475,17
476,29
477,19
478,26
479,21
480,24
481,23
482,26
483,17
484,32
485,24
486,31
487,32
488,23
489,25
490,25
491,28
492,16
493,32
494,23
495,27
496,27
497,27
498,15
499,26
500,25
501,22
502,25
503,26
