t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
3,0,1763.40,LOW,RECURRING,LOW,1,0,0,0
3,1,5166.04,LOW,NEW,LOW,1,1,0,0
5,0,1851.68,LOW,NEW,LOW,1,0,0,0
6,0,9588.04,LOW,RECURRING,LOW,1,1,1,0
8,0,2470.69,LOW,NEW,HIGH,1,0,0,0
12,0,7681.70,LOW,RECURRING,LOW,0,1,0,1
12,1,2868.81,LOW,RECURRING,LOW,0,1,0,0
12,2,8637.56,LOW,NEW,HIGH,0,1,1,0
13,0,9201.22,LOW,NEW,LOW,1,1,1,0
16,0,1829.01,LOW,RECURRING,LOW,1,0,0,0
21,0,2261.58,LOW,NEW,LOW,1,0,0,0
22,0,4069.65,LOW,NEW,LOW,0,1,0,0
22,1,2162.22,LOW,RECURRING,LOW,1,0,0,0
23,0,1530.97,LOW,NEW,LOW,1,0,0,0
24,0,5132.09,LOW,NEW,HIGH,0,1,0,0
27,0,15437.43,LOW,NEW,HIGH,1,1,0,1
28,0,1774.47,LOW,RECURRING,LOW,1,0,0,0
30,0,9217.08,LOW,NEW,LOW,2,0,0,1
30,1,5407.91,LOW,NEW,LOW,0,0,0,1
32,0,5750.99,LOW,NEW,LOW,1,1,0,0
32,1,6756.11,LOW,RECURRING,HIGH,1,1,0,0
33,0,7837.17,LOW,NEW,HIGH,1,0,1,0
34,0,10045.67,LOW,RECURRING,HIGH,1,0,0,1
34,1,3475.79,LOW,RECURRING,LOW,0,1,0,0
34,2,1901.83,LOW,NEW,LOW,1,0,0,0
35,0,3758.49,LOW,NEW,LOW,0,0,1,0
37,0,5600.55,LOW,RECURRING,LOW,1,0,1,0
37,1,1513.74,LOW,RECURRING,LOW,1,0,0,0
39,0,6487.75,LOW,NEW,LOW,1,0,0,1
39,1,7607.40,LOW,RECURRING,LOW,0,0,1,1
40,0,1555.49,LOW,NEW,LOW,1,0,0,0
40,1,3631.25,LOW,NEW,LOW,2,0,0,0
41,0,6715.28,LOW,NEW,LOW,2,0,1,0
41,1,3692.86,LOW,RECURRING,LOW,0,0,1,0
43,0,1870.42,LOW,RECURRING,LOW,1,0,0,0
46,0,2383.58,LOW,NEW,HIGH,1,0,0,0
46,1,6817.86,LOW,NEW,LOW,1,0,0,1
47,0,2069.70,LOW,NEW,LOW,1,0,0,0
47,1,1890.34,LOW,RECURRING,LOW,1,0,0,0
52,0,5647.63,LOW,RECURRING,LOW,1,1,0,0
55,0,3690.47,LOW,NEW,LOW,2,0,0,0
56,0,2791.24,LOW,NEW,HIGH,1,0,0,0
58,0,2181.47,LOW,NEW,LOW,1,0,0,0
59,0,8908.37,LOW,NEW,LOW,1,1,1,0
59,1,4990.57,LOW,RECURRING,HIGH,0,0,1,0
61,0,2564.08,LOW,NEW,HIGH,1,0,0,0
61,1,1931.00,LOW,NEW,LOW,1,0,0,0
62,0,3624.77,LOW,NEW,LOW,0,1,0,0
62,1,2164.87,LOW,RECURRING,LOW,1,0,0,0
62,2,3997.75,LOW,RECURRING,LOW,0,0,1,0
63,0,1717.54,LOW,NEW,LOW,1,0,0,0
64,0,1795.89,LOW,RECURRING,LOW,1,0,0,0
65,0,5192.10,LOW,NEW,LOW,1,1,0,0
66,0,1971.58,LOW,RECURRING,LOW,1,0,0,0
67,0,8360.20,LOW,NEW,HIGH,1,1,0,0
68,0,2309.38,LOW,RECURRING,LOW,1,0,0,0
68,1,1773.50,LOW,RECURRING,LOW,1,0,0,0
69,0,6062.99,LOW,RECURRING,LOW,1,1,0,0
72,0,2102.27,LOW,RECURRING,LOW,1,0,0,0
80,0,9164.25,LOW,NEW,LOW,1,0,0,1
80,1,2867.17,LOW,RECURRING,HIGH,1,0,0,0
81,0,6621.23,LOW,NEW,LOW,0,0,0,1
82,0,2125.65,LOW,NEW,LOW,1,0,0,0
83,0,3234.02,LOW,NEW,LOW,0,1,0,0
84,0,3947.41,LOW,NEW,LOW,2,0,0,0
85,0,2673.93,LOW,NEW,HIGH,1,0,0,0
86,0,1550.07,LOW,NEW,LOW,1,0,0,0
87,0,1998.53,LOW,RECURRING,LOW,1,0,0,0
90,0,6666.28,LOW,NEW,LOW,1,0,1,0
91,0,2112.92,LOW,RECURRING,LOW,1,0,0,0
92,0,7920.44,LOW,RECURRING,HIGH,0,0,0,1
92,1,10639.97,LOW,NEW,LOW,1,1,1,0
92,2,1494.87,LOW,NEW,LOW,1,0,0,0
93,0,3571.98,LOW,RECURRING,LOW,0,1,0,0
93,1,10909.52,LOW,RECURRING,LOW,2,1,1,0
93,2,3292.39,LOW,NEW,LOW,0,1,0,0
94,0,4976.36,LOW,RECURRING,HIGH,2,0,0,0
95,0,3324.94,LOW,NEW,LOW,2,0,0,0
95,1,1659.26,LOW,NEW,LOW,1,0,0,0
100,0,1622.68,LOW,NEW,LOW,1,0,0,0
100,1,2949.25,LOW,RECURRING,HIGH,1,0,0,0
100,2,4163.82,LOW,NEW,LOW,2,0,0,0
104,0,2768.13,LOW,RECURRING,LOW,0,1,0,0
104,1,2994.51,LOW,NEW,HIGH,1,0,0,0
108,0,1582.39,LOW,NEW,LOW,1,0,0,0
109,0,2117.49,LOW,RECURRING,LOW,1,0,0,0
110,0,6634.41,LOW,NEW,LOW,0,0,0,1
110,1,4120.14,LOW,NEW,LOW,0,1,0,0
110,2,3277.75,LOW,NEW,LOW,0,1,0,0
110,3,8202.78,LOW,NEW,LOW,2,1,0,0
111,0,7595.02,LOW,RECURRING,LOW,1,1,1,0
112,0,4830.51,LOW,NEW,LOW,0,0,0,1
112,1,1939.39,LOW,RECURRING,LOW,1,0,0,0
112,2,1678.56,LOW,NEW,LOW,1,0,0,0
113,0,3840.58,LOW,RECURRING,LOW,0,0,1,0
114,0,2442.16,LOW,NEW,HIGH,1,0,0,0
114,1,1809.00,LOW,NEW,LOW,1,0,0,0
114,2,2202.29,LOW,NEW,LOW,1,0,0,0
116,0,2224.28,LOW,RECURRING,HIGH,1,0,0,0
116,1,1897.18,LOW,NEW,LOW,1,0,0,0
117,0,2740.49,LOW,NEW,HIGH,1,0,0,0
117,1,1887.36,LOW,NEW,LOW,1,0,0,0
118,0,3697.16,LOW,RECURRING,LOW,2,0,0,0
119,0,4552.98,LOW,NEW,LOW,1,1,0,0
124,0,6498.89,LOW,RECURRING,LOW,2,0,1,0
124,1,1912.06,LOW,NEW,LOW,1,0,0,0
128,0,2737.86,LOW,NEW,HIGH,1,0,0,0
129,0,3754.55,LOW,NEW,LOW,0,1,0,0
129,1,2256.25,LOW,NEW,LOW,1,0,0,0
130,0,1676.28,LOW,NEW,LOW,1,0,0,0
131,0,7917.37,LOW,NEW,HIGH,1,1,0,0
132,0,7843.53,LOW,NEW,LOW,2,0,1,0
132,1,2188.51,LOW,NEW,LOW,1,0,0,0
133,0,2005.35,LOW,RECURRING,LOW,1,0,0,0
134,0,4003.70,LOW,RECURRING,LOW,0,1,0,0
136,0,3150.48,LOW,NEW,LOW,0,1,0,0
139,0,2772.89,LOW,NEW,HIGH,1,0,0,0
139,1,3990.88,LOW,NEW,LOW,2,0,0,0
141,0,2604.89,LOW,NEW,HIGH,1,0,0,0
142,0,1975.70,LOW,NEW,LOW,1,0,0,0
142,1,2148.50,LOW,NEW,LOW,1,0,0,0
143,0,5445.87,LOW,RECURRING,LOW,1,1,0,0
143,1,6897.03,LOW,RECURRING,LOW,1,0,0,1
145,0,1978.30,LOW,RECURRING,LOW,1,0,0,0
146,0,2174.94,LOW,RECURRING,LOW,1,0,0,0
150,0,1624.80,LOW,RECURRING,LOW,1,0,0,0
152,0,3253.73,LOW,RECURRING,LOW,0,1,0,0
152,1,4952.50,LOW,NEW,HIGH,0,1,0,0
154,0,2909.04,LOW,RECURRING,HIGH,1,0,0,0
155,0,2387.01,LOW,NEW,HIGH,1,0,0,0
157,0,3155.66,LOW,RECURRING,LOW,0,1,0,0
158,0,12533.87,LOW,RECURRING,LOW,1,1,1,1
158,1,2480.32,LOW,NEW,HIGH,1,0,0,0
159,0,1895.73,LOW,NEW,LOW,1,0,0,0
160,0,3466.50,LOW,NEW,LOW,0,0,1,0
160,1,5014.16,LOW,RECURRING,LOW,0,0,0,1
161,0,8023.29,LOW,RECURRING,LOW,2,0,1,0
161,1,2249.07,LOW,NEW,HIGH,1,0,0,0
161,2,1618.05,LOW,RECURRING,LOW,1,0,0,0
161,3,3672.29,LOW,RECURRING,LOW,0,1,0,0
162,0,2073.67,LOW,NEW,LOW,1,0,0,0
163,0,7043.73,LOW,NEW,HIGH,1,1,0,0
163,1,4756.53,LOW,RECURRING,HIGH,0,0,1,0
163,2,13255.67,LOW,NEW,HIGH,0,1,0,1
164,0,3138.72,LOW,NEW,LOW,0,1,0,0
164,1,1975.13,LOW,NEW,LOW,1,0,0,0
165,0,5429.28,LOW,RECURRING,LOW,1,0,1,0
166,0,5956.00,LOW,RECURRING,LOW,1,0,1,0
167,0,3555.35,LOW,RECURRING,LOW,2,0,0,0
170,0,1679.25,LOW,RECURRING,LOW,1,0,0,0
