period,num_arrivals
0,6
1,8
2,11
3,5
4,12
5,13
6,12
7,12
8,14
9,8
10,16
11,13
12,10
13,14
14,11
15,17
16,10
17,9
18,9
19,15
20,4
21,6
22,14
23,9
24,15
25,12
26,16
27,13
28,12
29,15
30,9
31,10
32,13
33,11
34,9
35,8
36,10
37,6
38,8
39,11
40,15
41,10
42,10
43,9
44,12
45,14
46,11
47,7
48,11
49,11
50,8
51,9
52,14
53,8
54,11
55,9
56,12
57,4
58,11
59,7
60,12
61,11
62,15
63,8
64,4
65,8
66,8
67,9
68,9
69,7
70,6
71,11
72,6
73,17
74,7
75,16
76,15
77,8
78,10
79,11
80,11
81,9
82,13
83,9
84,7
85,6
86,7
87,8
88,8
89,8
90,8
91,8
92,7
93,11
94,8
95,11
96,11
97,8
98,8
99,10
100,4
101,11
102,9
103,8
104,11
105,12
106,15
107,10
108,8
109,10
110,8
111,9
112,10
113,13
114,6
115,18
116,12
117,16
118,11
119,8
120,10
121,16
122,10
123,9
124,3
125,14
126,15
127,12
128,10
129,14
130,8
131,8
132,18
133,7
134,6
135,13
136,8
137,13
138,5
139,7
140,10
141,7
142,17
143,6
144,11
145,10
146,7
147,13
148,12
149,6
150,10
151,9
152,8
153,17
154,3
155,10
156,6
157,14
158,17
159,13
160,14
161,11
162,16
163,10
164,10
165,13
166,15
167,12
168,10
169,12
170,14
171,15
172,11
173,1
174,11
175,8
176,10
177,5
178,12
179,8
180,12
181,10
182,13
183,13
184,12
185,12
186,8
187,10
188,17
189,9
190,7
191,9
192,6
193,14
194,7
195,4
196,6
197,7
198,9
199,11
200,10
201,12
202,5
203,6
204,4
205,6
206,12
207,7
208,13
209,15
210,9
211,9
212,15
213,2
214,12
215,8
216,6
217,11
218,12
219,9
220,10
221,6
222,9
223,13
224,9
225,15
226,16
227,8
228,11
229,8
230,7
231,9
232,8
233,11
234,15
235,4
236,7
237,12
238,18
239,8
240,18
241,12
242,6
243,6
244,12
245,12
246,5
247,3
248,9
249,1
250,10
251,13
252,18
253,15
254,9
255,9
256,7
257,9
258,16
259,8
260,4
261,12
262,11
263,8
264,6
265,14
266,12
267,7
268,5
269,11
270,9
271,15
272,9
273,7
274,14
275,11
276,10
277,7
278,14
279,11
280,6
281,6
282,8
283,15
284,11
285,11
286,13
287,12
288,12
289,6
290,10
291,13
292,16
293,15
294,14
295,8
296,9
297,6
298,7
299,8
300,12
301,12
302,3
303,9
304,7
305,11
306,15
307,14
308,10
309,8
310,6
311,11
312,13
313,9
314,7
315,7
316,15
317,7
318,12
319,6
320,7
321,12
322,8
323,8
324,18
325,11
326,13
327,10
328,10
329,9
330,14
331,10
332,9
333,4
334,11
335,9
336,9
337,9
338,11
339,6
340,9
341,6
342,10
343,11
344,8
345,8
346,10
347,7
348,3
349,10
350,12
351,8
352,13
353,14
354,11
355,9
356,18
357,7
358,8
359,9
360,12
361,11
362,15
363,11
364,11
365,16
366,3
367,10
368,5
369,7
370,14
371,9
372,10
373,15
374,9
375,8
376,7
377,12
378,12
379,11
380,8
381,13
382,15
383,15
384,8
385,14
386,9
387,15
388,7
389,11
390,11
391,10
392,6
393,12
394,8
395,13
396,10
397,10
398,12
399,17
400,12
401,8
402,8
403,13
404,9
405,12
406,2
407,4
408,13
409,8
410,9
411,11
412,3
413,11
414,11
415,7
416,9
417,10
418,4
419,11
420,6
421,12
422,10
423,11
424,9
425,9
426,14
427,8
428,7
429,8
430,6
431,14
432,11
433,16
434,9
435,5
436,8
437,8
438,11
439,7
440,7
441,10
442,10
443,7
444,12
445,11
446,13
447,6
448,9
449,6
450,7
451,12
452,12
453,17
454,15
455,5
456,8
457,9
458,11
459,9
460,18
461,15
462,10
463,12
464,14
465,8
466,7
467,10
468,10
469,11
470,15
471,7
472,10
473,9
474,12
475,3
476,9
477,10
478,15
479,10
480,12
481,8
482,6
483,7
484,9
485,11
486,11
487,14
488,5
489,12
490,10
491,4
492,11
493,8
494,4
495,15
496,9
497,13
498,6
499,8
500,5
501,9
502,15
503,13
