t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,19300.71,HIGH,RECURRING,LOW,1,0,0,2
1,0,6435.60,HIGH,RECURRING,LOW,1,1,0,0
1,1,23413.47,HIGH,RECURRING,LOW,3,0,0,2
2,0,19849.18,HIGH,RECURRING,LOW,2,2,0,1
2,1,6450.44,HIGH,RECURRING,LOW,1,0,1,0
3,0,14704.03,HIGH,RECURRING,HIGH,2,1,0,0
3,1,19636.58,HIGH,NEW,LOW,0,2,2,0
3,2,10312.96,HIGH,NEW,HIGH,1,1,0,0
4,0,9068.22,HIGH,RECURRING,LOW,2,0,1,0
4,1,7212.34,HIGH,RECURRING,LOW,1,0,1,0
4,2,7896.24,HIGH,NEW,LOW,0,1,1,0
4,3,21879.10,HIGH,RECURRING,LOW,3,1,0,1
5,0,4051.51,HIGH,NEW,LOW,0,1,0,0
6,0,23188.96,HIGH,NEW,HIGH,1,1,2,0
8,0,10926.35,HIGH,NEW,LOW,1,0,0,1
8,1,27838.17,HIGH,RECURRING,LOW,4,1,1,1
9,0,19549.77,HIGH,NEW,HIGH,2,1,1,0
10,0,9925.52,HIGH,NEW,LOW,2,0,1,0
10,1,6521.75,HIGH,NEW,HIGH,2,0,0,0
10,2,8888.94,HIGH,RECURRING,LOW,2,1,0,0
11,0,13458.27,HIGH,RECURRING,LOW,2,1,1,0
11,1,4960.14,HIGH,RECURRING,LOW,0,0,1,0
12,0,11922.81,HIGH,NEW,HIGH,3,0,0,0
12,1,24728.95,HIGH,RECURRING,HIGH,1,3,0,0
13,0,7467.21,HIGH,RECURRING,LOW,1,1,0,0
13,1,4254.57,HIGH,RECURRING,HIGH,1,0,0,0
13,2,4707.65,HIGH,NEW,LOW,0,1,0,0
14,0,37530.08,HIGH,RECURRING,HIGH,3,3,1,0
14,1,5459.92,HIGH,NEW,LOW,2,0,0,0
15,0,16154.60,HIGH,RECURRING,HIGH,2,1,0,0
15,1,30451.95,HIGH,RECURRING,HIGH,2,1,1,1
15,2,4838.20,HIGH,RECURRING,LOW,0,0,1,0
15,3,5195.96,HIGH,RECURRING,LOW,0,0,1,0
16,0,11521.22,HIGH,RECURRING,LOW,1,1,1,0
16,1,3994.05,HIGH,NEW,HIGH,1,0,0,0
16,2,15623.95,HIGH,RECURRING,HIGH,1,0,0,1
17,0,4203.37,HIGH,NEW,LOW,0,1,0,0
17,1,7925.32,HIGH,RECURRING,LOW,0,0,2,0
18,0,4344.05,HIGH,NEW,HIGH,1,0,0,0
18,1,16540.55,HIGH,RECURRING,LOW,2,1,0,1
18,2,8314.05,HIGH,RECURRING,LOW,0,0,0,1
19,0,7429.29,HIGH,RECURRING,LOW,1,1,0,0
19,1,26166.83,HIGH,RECURRING,LOW,4,1,2,0
19,2,2554.60,HIGH,RECURRING,LOW,1,0,0,0
19,3,3498.16,HIGH,RECURRING,HIGH,1,0,0,0
20,0,7037.61,HIGH,RECURRING,LOW,1,0,1,0
20,1,10557.66,HIGH,RECURRING,HIGH,1,1,0,0
20,2,20180.17,HIGH,RECURRING,HIGH,0,1,2,0
20,3,3839.20,HIGH,RECURRING,LOW,0,1,0,0
21,0,11533.42,HIGH,RECURRING,LOW,1,2,0,0
21,1,15359.17,HIGH,RECURRING,LOW,4,2,0,0
21,2,20554.72,HIGH,RECURRING,LOW,0,3,2,0
21,3,24162.06,HIGH,RECURRING,LOW,4,1,0,1
21,4,16373.06,HIGH,NEW,LOW,1,1,0,1
22,0,3644.51,HIGH,NEW,HIGH,1,0,0,0
22,1,7455.76,HIGH,RECURRING,LOW,0,2,0,0
23,0,25546.21,HIGH,RECURRING,HIGH,3,1,0,1
23,1,6877.28,HIGH,NEW,LOW,3,0,0,0
23,2,32707.97,HIGH,NEW,HIGH,1,1,0,2
23,3,14953.97,HIGH,RECURRING,LOW,1,1,0,1
24,0,3925.54,HIGH,RECURRING,LOW,0,0,1,0
24,1,23141.06,HIGH,RECURRING,LOW,2,1,1,1
24,2,9094.61,HIGH,NEW,LOW,0,2,0,0
24,3,5166.00,HIGH,RECURRING,LOW,2,0,0,0
25,0,12033.84,HIGH,RECURRING,LOW,1,1,1,0
25,1,8555.65,HIGH,NEW,LOW,1,0,0,1
25,2,7640.26,HIGH,RECURRING,LOW,3,0,0,0
26,0,2002.71,HIGH,RECURRING,LOW,1,0,0,0
27,0,17740.99,HIGH,NEW,LOW,0,1,1,1
27,1,19178.76,HIGH,RECURRING,LOW,2,1,1,1
27,2,9344.26,HIGH,RECURRING,LOW,1,0,0,1
28,0,2149.94,HIGH,RECURRING,LOW,1,0,0,0
29,0,4676.92,HIGH,RECURRING,LOW,2,0,0,0
29,1,17947.59,HIGH,RECURRING,LOW,5,0,0,1
29,2,16576.71,HIGH,NEW,HIGH,1,1,1,0
30,0,7029.45,HIGH,NEW,LOW,0,0,0,1
30,1,3695.17,HIGH,RECURRING,HIGH,1,0,0,0
30,2,2314.28,HIGH,NEW,LOW,1,0,0,0
31,0,7997.91,HIGH,NEW,LOW,1,0,1,0
31,1,7881.34,HIGH,RECURRING,LOW,2,1,0,0
31,2,16059.44,HIGH,NEW,HIGH,1,1,1,0
31,3,19649.33,HIGH,NEW,HIGH,0,1,0,1
32,0,3623.00,HIGH,RECURRING,HIGH,1,0,0,0
32,1,6418.95,HIGH,RECURRING,HIGH,2,0,0,0
33,0,13411.02,HIGH,NEW,HIGH,3,0,0,0
33,1,5035.33,HIGH,NEW,LOW,2,0,0,0
33,2,7659.71,HIGH,RECURRING,LOW,0,0,0,1
34,0,7757.55,HIGH,NEW,LOW,3,0,0,0
34,1,10304.71,HIGH,RECURRING,HIGH,1,0,1,0
34,2,4769.64,HIGH,RECURRING,LOW,0,0,1,0
35,0,15289.70,HIGH,RECURRING,HIGH,0,0,2,0
35,1,13850.18,HIGH,RECURRING,LOW,0,0,0,2
35,2,20648.69,HIGH,RECURRING,HIGH,3,0,0,1
35,3,26097.10,HIGH,RECURRING,HIGH,2,0,1,1
36,0,16590.89,HIGH,RECURRING,HIGH,1,0,0,1
36,1,5835.99,HIGH,NEW,HIGH,0,1,0,0
36,2,4424.98,HIGH,NEW,LOW,0,0,1,0
36,3,10090.25,HIGH,RECURRING,LOW,0,1,1,0
36,4,10100.67,HIGH,RECURRING,HIGH,1,1,0,0
37,0,14344.97,HIGH,RECURRING,LOW,2,2,0,0
38,0,30553.42,HIGH,RECURRING,HIGH,2,2,1,0
38,1,3635.88,HIGH,NEW,HIGH,1,0,0,0
38,2,5142.11,HIGH,RECURRING,LOW,2,0,0,0
38,3,9093.13,HIGH,RECURRING,LOW,2,1,0,0
38,4,4772.06,HIGH,RECURRING,LOW,2,0,0,0
38,5,12997.34,HIGH,NEW,LOW,0,1,0,1
39,0,4071.94,HIGH,RECURRING,LOW,0,1,0,0
39,1,2515.43,HIGH,RECURRING,LOW,1,0,0,0
39,2,8843.73,HIGH,NEW,LOW,0,1,1,0
39,3,8497.40,HIGH,RECURRING,LOW,0,0,2,0
39,4,2622.94,HIGH,RECURRING,LOW,1,0,0,0
39,5,16112.31,HIGH,RECURRING,HIGH,2,0,1,0
40,0,21968.05,HIGH,RECURRING,HIGH,2,1,1,0
40,1,15542.46,HIGH,RECURRING,HIGH,0,2,0,0
40,2,12465.09,HIGH,RECURRING,LOW,1,2,0,0
40,3,6696.48,HIGH,RECURRING,LOW,1,0,1,0
40,4,7220.46,HIGH,RECURRING,LOW,1,1,0,0
41,0,2502.58,HIGH,NEW,LOW,1,0,0,0
41,1,17470.75,HIGH,NEW,LOW,3,0,2,0
41,2,14735.41,HIGH,NEW,LOW,0,1,0,1
42,0,20958.99,HIGH,RECURRING,LOW,2,1,2,0
42,1,4512.89,HIGH,NEW,LOW,0,0,1,0
43,0,7224.08,HIGH,RECURRING,LOW,1,0,1,0
43,1,4746.73,HIGH,NEW,LOW,0,1,0,0
43,2,5007.62,HIGH,RECURRING,LOW,2,0,0,0
44,0,9028.15,HIGH,NEW,LOW,0,0,0,1
44,1,9344.30,HIGH,NEW,LOW,0,1,1,0
44,2,2503.06,HIGH,NEW,LOW,1,0,0,0
44,3,4418.36,HIGH,RECURRING,LOW,2,0,0,0
44,4,17951.89,HIGH,NEW,LOW,1,1,0,1
45,0,11403.60,HIGH,NEW,HIGH,0,0,0,1
45,1,5807.28,HIGH,NEW,LOW,0,0,1,0
46,0,9954.91,HIGH,RECURRING,HIGH,1,1,0,0
46,1,13054.45,HIGH,NEW,LOW,3,1,0,0
47,0,8962.40,HIGH,RECURRING,LOW,2,0,1,0
47,1,2949.80,HIGH,NEW,LOW,1,0,0,0
48,0,12650.13,HIGH,RECURRING,LOW,2,0,0,1
48,1,8874.39,HIGH,NEW,LOW,2,0,1,0
48,2,2386.80,HIGH,NEW,LOW,1,0,0,0
48,3,8471.28,HIGH,RECURRING,LOW,3,0,0,0
49,0,8158.83,HIGH,NEW,LOW,1,1,0,0
49,1,13696.97,HIGH,NEW,LOW,0,1,0,1
49,2,10720.55,HIGH,RECURRING,HIGH,1,1,0,0
49,3,17554.12,HIGH,NEW,LOW,1,1,0,1
49,4,5294.48,HIGH,RECURRING,LOW,0,1,0,0
50,0,33571.89,HIGH,NEW,HIGH,2,1,1,1
50,1,4979.32,HIGH,NEW,LOW,0,0,1,0
50,2,11560.97,HIGH,NEW,LOW,1,0,2,0
51,0,8851.83,HIGH,NEW,HIGH,0,1,0,0
51,1,15314.79,HIGH,RECURRING,HIGH,0,1,1,0
51,2,16392.45,HIGH,NEW,LOW,2,1,1,0
51,3,20624.62,HIGH,NEW,LOW,5,0,0,1
52,0,2780.98,HIGH,RECURRING,LOW,1,0,0,0
53,0,5563.32,HIGH,NEW,LOW,0,0,1,0
53,1,16790.90,HIGH,NEW,HIGH,1,0,0,1
53,2,16306.42,HIGH,NEW,LOW,1,0,1,1
54,0,8254.17,HIGH,NEW,LOW,1,0,1,0
54,1,4836.11,HIGH,NEW,HIGH,1,0,0,0
54,2,19660.34,HIGH,RECURRING,LOW,2,1,2,0
54,3,2515.84,HIGH,NEW,LOW,1,0,0,0
55,0,4657.11,HIGH,NEW,LOW,0,1,0,0
56,0,25008.92,HIGH,NEW,HIGH,2,2,0,0
56,1,14293.15,HIGH,NEW,HIGH,0,2,0,0
56,2,4372.88,HIGH,NEW,LOW,0,1,0,0
56,3,5872.41,HIGH,NEW,LOW,2,0,0,0
56,4,7715.16,HIGH,NEW,HIGH,0,1,0,0
57,0,18887.02,HIGH,NEW,HIGH,1,1,1,0
57,1,15114.77,HIGH,NEW,LOW,2,2,0,0
57,2,5722.95,HIGH,NEW,LOW,2,0,0,0
57,3,18326.74,HIGH,NEW,LOW,1,3,0,0
58,0,9315.65,HIGH,RECURRING,LOW,0,2,0,0
58,1,2406.42,HIGH,NEW,LOW,1,0,0,0
58,2,7646.05,HIGH,NEW,LOW,0,0,0,1
59,0,11604.42,HIGH,NEW,LOW,1,0,0,1
59,1,16413.82,HIGH,NEW,LOW,0,2,1,0
59,2,13979.75,HIGH,NEW,LOW,0,1,0,1
59,3,2791.88,HIGH,NEW,LOW,1,0,0,0
60,0,17904.49,HIGH,RECURRING,LOW,2,0,1,1
60,1,7055.77,HIGH,RECURRING,LOW,1,1,0,0
60,2,6712.20,HIGH,NEW,LOW,1,1,0,0
60,3,6330.80,HIGH,RECURRING,LOW,1,1,0,0
60,4,2734.39,HIGH,RECURRING,LOW,1,0,0,0
61,0,20829.91,HIGH,NEW,LOW,4,1,1,0
61,1,13665.36,HIGH,NEW,LOW,2,2,0,0
61,2,9697.14,HIGH,NEW,LOW,2,0,1,0
62,0,12795.62,HIGH,NEW,LOW,1,1,1,0
62,1,4632.19,HIGH,NEW,HIGH,1,0,0,0
62,2,2672.42,HIGH,RECURRING,LOW,1,0,0,0
63,0,11090.69,HIGH,NEW,LOW,2,1,0,0
