t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,14466.74,LOW,RECURRING,LOW,0,2,0,1
0,1,38382.41,LOW,RECURRING,HIGH,1,3,1,1
1,0,6255.48,LOW,NEW,LOW,1,0,1,0
1,1,14705.68,LOW,NEW,HIGH,0,2,0,0
1,2,7291.14,LOW,RECURRING,LOW,0,0,0,1
1,3,41769.08,LOW,RECURRING,HIGH,1,2,0,2
2,0,23045.84,LOW,NEW,LOW,1,2,0,2
2,1,18698.27,LOW,NEW,HIGH,1,1,1,0
3,0,3983.21,LOW,NEW,LOW,2,0,0,0
3,1,7145.71,LOW,NEW,LOW,0,0,0,1
3,2,16234.04,LOW,NEW,LOW,1,2,2,0
4,0,22112.79,LOW,RECURRING,LOW,2,2,0,1
4,1,8490.16,LOW,RECURRING,LOW,0,2,0,0
5,0,12172.75,LOW,NEW,LOW,1,1,0,1
5,1,17756.85,LOW,RECURRING,HIGH,1,1,1,0
5,2,3798.49,LOW,RECURRING,LOW,0,1,0,0
5,3,11998.47,LOW,RECURRING,LOW,1,2,0,0
5,4,6086.86,LOW,RECURRING,HIGH,0,1,0,0
6,0,13024.63,LOW,RECURRING,HIGH,2,1,0,0
6,1,12633.63,LOW,RECURRING,LOW,2,1,1,0
6,2,11720.10,LOW,NEW,LOW,1,2,0,0
6,3,16188.04,LOW,RECURRING,LOW,1,2,0,1
7,0,21777.89,LOW,RECURRING,HIGH,0,3,0,0
7,1,22419.83,LOW,RECURRING,HIGH,0,3,0,0
7,2,6028.64,LOW,RECURRING,LOW,1,1,0,0
7,3,7578.30,LOW,RECURRING,HIGH,0,1,0,0
7,4,4088.71,LOW,NEW,LOW,0,0,1,0
7,5,36804.32,LOW,NEW,LOW,1,3,1,2
7,6,5292.22,LOW,RECURRING,LOW,1,1,0,0
7,7,4673.29,LOW,RECURRING,LOW,0,1,0,0
8,0,19802.38,LOW,RECURRING,LOW,1,3,1,0
8,1,1893.56,LOW,RECURRING,LOW,1,0,0,0
9,0,15576.11,LOW,RECURRING,LOW,0,1,1,1
9,1,31960.58,LOW,RECURRING,HIGH,2,0,0,2
9,2,10819.99,LOW,RECURRING,HIGH,1,1,0,0
10,0,3433.77,LOW,NEW,LOW,0,1,0,0
10,1,14307.73,LOW,RECURRING,LOW,0,1,1,1
10,2,11757.03,LOW,RECURRING,HIGH,0,2,0,0
10,3,12902.50,LOW,RECURRING,HIGH,0,2,0,0
10,4,11373.80,LOW,NEW,LOW,1,2,0,0
11,0,22151.95,LOW,RECURRING,LOW,1,0,1,2
11,1,6708.53,LOW,NEW,LOW,0,0,0,1
11,2,22606.73,LOW,RECURRING,HIGH,0,2,1,0
11,3,21729.52,LOW,NEW,LOW,0,2,0,2
11,4,6945.93,LOW,NEW,HIGH,0,1,0,0
11,5,6883.32,LOW,RECURRING,LOW,0,0,0,1
11,6,6157.36,LOW,RECURRING,HIGH,0,0,1,0
11,7,12588.83,LOW,RECURRING,LOW,0,2,1,0
12,0,15059.54,LOW,NEW,HIGH,1,1,1,0
12,1,12849.40,LOW,NEW,LOW,0,3,0,0
13,0,9670.39,LOW,RECURRING,LOW,2,1,0,0
14,0,4625.19,LOW,RECURRING,LOW,0,1,0,0
14,1,10883.03,LOW,RECURRING,LOW,1,0,2,0
16,0,24989.16,LOW,NEW,HIGH,0,2,0,1
16,1,41510.08,LOW,NEW,HIGH,1,2,0,2
17,0,7049.33,LOW,RECURRING,LOW,0,1,1,0
17,1,17157.79,LOW,NEW,HIGH,0,2,1,0
17,2,11874.09,LOW,RECURRING,HIGH,1,1,0,0
17,3,18879.37,LOW,RECURRING,LOW,2,2,0,1
17,4,3495.58,LOW,NEW,LOW,0,1,0,0
17,5,6417.28,LOW,NEW,LOW,0,0,0,1
19,0,29473.78,LOW,RECURRING,HIGH,0,4,0,0
19,1,41317.69,LOW,NEW,HIGH,0,2,0,2
19,2,15416.93,LOW,NEW,LOW,1,1,1,1
20,0,39900.84,LOW,RECURRING,HIGH,0,2,0,2
20,1,23058.41,LOW,NEW,LOW,2,1,1,2
20,2,14949.83,LOW,NEW,LOW,0,2,0,1
21,0,2401.96,LOW,NEW,LOW,1,0,0,0
21,1,9343.42,LOW,NEW,HIGH,1,1,0,0
23,0,10632.24,LOW,NEW,LOW,0,2,1,0
24,0,21792.81,LOW,RECURRING,HIGH,0,0,0,2
24,1,25461.81,LOW,NEW,LOW,1,4,0,1
24,2,4602.06,LOW,NEW,LOW,0,1,0,0
24,3,8892.30,LOW,RECURRING,LOW,0,2,0,0
24,4,22186.86,LOW,RECURRING,LOW,0,1,4,0
24,5,31531.75,LOW,NEW,HIGH,3,1,2,0
25,0,3943.24,LOW,NEW,LOW,0,1,0,0
25,1,12632.09,LOW,RECURRING,HIGH,0,1,1,0
26,0,9816.41,LOW,RECURRING,LOW,1,2,0,0
27,0,16105.97,LOW,RECURRING,LOW,0,2,0,1
27,1,23627.78,LOW,RECURRING,HIGH,1,1,0,1
27,2,6552.91,LOW,NEW,LOW,0,0,0,1
27,3,19155.63,LOW,RECURRING,HIGH,0,1,0,1
27,4,21072.34,LOW,RECURRING,HIGH,0,1,0,1
28,0,44290.26,LOW,RECURRING,HIGH,0,3,1,1
29,0,7776.32,LOW,RECURRING,LOW,0,1,1,0
29,1,30575.80,LOW,NEW,LOW,0,2,0,3
29,2,4923.47,LOW,NEW,LOW,0,0,1,0
29,3,15352.07,LOW,RECURRING,LOW,3,1,1,0
29,4,41484.77,LOW,RECURRING,HIGH,1,1,0,3
29,5,7111.79,LOW,NEW,HIGH,0,1,0,0
29,6,9651.21,LOW,NEW,LOW,2,1,0,0
29,7,6255.56,LOW,RECURRING,LOW,1,1,0,0
30,0,11662.01,LOW,NEW,LOW,1,1,1,0
30,1,7134.02,LOW,NEW,LOW,0,2,0,0
30,2,12609.81,LOW,RECURRING,HIGH,0,1,1,0
31,0,21492.19,LOW,NEW,LOW,0,1,1,2
31,1,19423.10,LOW,RECURRING,HIGH,0,0,1,1
32,0,10335.57,LOW,RECURRING,LOW,1,0,0,1
33,0,22247.78,LOW,NEW,LOW,0,4,2,0
33,1,13111.19,LOW,RECURRING,HIGH,0,2,0,0
33,2,25712.80,LOW,NEW,HIGH,1,2,1,0
33,3,8724.04,LOW,RECURRING,LOW,0,0,2,0
33,4,11499.89,LOW,RECURRING,HIGH,2,1,0,0
34,0,4186.40,LOW,RECURRING,LOW,0,1,0,0
34,1,3057.62,LOW,NEW,HIGH,1,0,0,0
35,0,3635.46,LOW,NEW,LOW,0,0,1,0
35,1,6443.95,LOW,NEW,LOW,1,0,1,0
35,2,10100.36,LOW,NEW,LOW,1,2,0,0
