t,arrival_idx,max_wtp,season,customer_type,commodity_value,TEU,FEU,HC,REEF
0,0,15864.22,HIGH,NEW,HIGH,3,0,1,0
0,1,3669.92,HIGH,NEW,HIGH,1,0,0,0
1,0,26735.13,HIGH,NEW,HIGH,3,3,0,0
1,1,15635.70,HIGH,NEW,HIGH,3,1,0,0
1,2,15408.45,HIGH,NEW,HIGH,1,0,0,1
2,0,3845.91,HIGH,RECURRING,HIGH,1,0,0,0
2,1,10283.07,HIGH,NEW,HIGH,0,0,0,1
2,2,24106.34,HIGH,NEW,HIGH,0,2,2,0
2,3,31264.01,HIGH,NEW,HIGH,1,1,3,0
2,4,7871.84,HIGH,RECURRING,HIGH,0,1,0,0
2,5,14757.53,HIGH,NEW,HIGH,1,2,0,0
3,0,15300.57,HIGH,RECURRING,HIGH,2,1,0,0
4,0,11265.06,HIGH,NEW,HIGH,1,0,1,0
4,1,8210.51,HIGH,RECURRING,HIGH,0,0,1,0
4,2,6335.12,HIGH,NEW,HIGH,2,0,0,0
4,3,9572.71,HIGH,NEW,HIGH,1,1,0,0
4,4,10877.00,HIGH,NEW,HIGH,1,0,1,0
4,5,7642.59,HIGH,NEW,HIGH,2,0,0,0
5,0,18698.47,HIGH,NEW,HIGH,0,1,2,0
5,1,3488.25,HIGH,NEW,HIGH,1,0,0,0
5,2,6739.03,HIGH,RECURRING,HIGH,0,0,1,0
6,0,27315.92,HIGH,NEW,HIGH,3,1,0,1
6,1,19022.35,HIGH,NEW,HIGH,2,1,1,0
6,2,5770.98,HIGH,NEW,HIGH,0,1,0,0
6,3,5923.99,HIGH,NEW,HIGH,0,1,0,0
6,4,19415.40,HIGH,NEW,HIGH,0,0,1,1
7,0,20651.64,HIGH,NEW,HIGH,4,0,1,0
7,1,19873.02,HIGH,RECURRING,HIGH,1,2,0,0
8,0,13964.40,HIGH,RECURRING,HIGH,0,0,0,1
8,1,5488.89,HIGH,NEW,HIGH,0,1,0,0
8,2,21425.56,HIGH,NEW,HIGH,2,2,0,0
9,0,7175.18,HIGH,NEW,HIGH,0,1,0,0
9,1,6315.08,HIGH,NEW,HIGH,0,1,0,0
10,0,3488.83,HIGH,NEW,HIGH,1,0,0,0
10,1,34107.48,HIGH,RECURRING,HIGH,1,1,1,1
10,2,30775.87,HIGH,NEW,HIGH,2,1,3,0
11,0,12427.03,HIGH,NEW,HIGH,0,0,0,1
12,0,24527.89,HIGH,NEW,HIGH,0,4,0,0
12,1,7033.52,HIGH,NEW,HIGH,2,0,0,0
13,0,25002.51,HIGH,NEW,HIGH,1,0,2,1
13,1,7181.98,HIGH,NEW,HIGH,0,1,0,0
13,2,3877.60,HIGH,NEW,HIGH,1,0,0,0
13,3,6814.74,HIGH,NEW,HIGH,0,1,0,0
14,0,6913.89,HIGH,NEW,HIGH,2,0,0,0
14,1,6928.48,HIGH,RECURRING,HIGH,0,0,1,0
14,2,11243.95,HIGH,NEW,HIGH,0,0,0,1
14,3,3450.32,HIGH,NEW,HIGH,1,0,0,0
14,4,25811.98,HIGH,RECURRING,HIGH,1,3,0,0
14,5,3185.32,HIGH,NEW,HIGH,1,0,0,0
15,0,30052.46,HIGH,NEW,HIGH,3,1,0,1
15,1,15870.09,HIGH,NEW,HIGH,1,2,0,0
16,0,10095.86,HIGH,NEW,HIGH,0,0,0,1
16,1,3574.67,HIGH,RECURRING,HIGH,1,0,0,0
16,2,7954.40,HIGH,RECURRING,HIGH,2,0,0,0
16,3,10143.67,HIGH,RECURRING,HIGH,1,1,0,0
16,4,18412.50,HIGH,RECURRING,HIGH,1,2,0,0
17,0,7001.91,HIGH,NEW,HIGH,0,0,1,0
17,1,4154.88,HIGH,RECURRING,HIGH,1,0,0,0
17,2,16434.20,HIGH,NEW,HIGH,0,0,1,1
17,3,23849.19,HIGH,NEW,HIGH,5,0,1,0
17,4,24383.33,HIGH,RECURRING,HIGH,1,2,1,0
17,5,6944.10,HIGH,NEW,HIGH,0,0,1,0
18,0,7058.26,HIGH,NEW,HIGH,0,0,1,0
18,1,27710.39,HIGH,NEW,HIGH,2,0,0,2
18,2,21134.53,HIGH,NEW,HIGH,2,2,0,0
18,3,3983.66,HIGH,NEW,HIGH,1,0,0,0
19,0,28633.81,HIGH,RECURRING,HIGH,3,1,1,0
19,1,33684.12,HIGH,NEW,HIGH,2,2,0,1
19,2,15241.66,HIGH,NEW,HIGH,1,1,1,0
20,0,17115.44,HIGH,NEW,HIGH,0,2,1,0
20,1,23013.38,HIGH,NEW,HIGH,3,1,1,0
20,2,10568.47,HIGH,RECURRING,HIGH,1,1,0,0
21,0,32804.54,HIGH,RECURRING,HIGH,2,3,0,0
21,1,7811.13,HIGH,NEW,HIGH,2,0,0,0
21,2,10914.43,HIGH,NEW,HIGH,0,0,0,1
21,3,10399.88,HIGH,RECURRING,HIGH,1,1,0,0
21,4,18973.72,HIGH,NEW,HIGH,2,1,1,0
21,5,11906.56,HIGH,NEW,HIGH,0,0,2,0
22,0,18048.16,HIGH,NEW,HIGH,0,1,2,0
22,1,6376.01,HIGH,NEW,HIGH,0,0,1,0
23,0,3463.05,HIGH,NEW,HIGH,1,0,0,0
23,1,26310.98,HIGH,NEW,HIGH,2,2,1,0
