accepted,arrival_idx,chosen_pv_id,context_commodity_value,context_customer_type,context_season,customer_max_wtp,inventory_after,inventory_before,offer_made,offered_price,pacing_budget,phase,revenue_inc,t
1,0,,,,,35866.155,442.0,450.0,1,35866.155,,oracle,35866.155,345
1,0,,,,,35788.5,429.0,442.0,1,35788.5,,oracle,35788.5,445
1,0,,,,,35055.524999999994,418.0,429.0,1,35055.524999999994,,oracle,35055.524999999994,135
1,6,,,,,29685.337499999998,409.0,418.0,1,29685.337499999998,,oracle,29685.337499999998,228
1,1,,,,,28892.1225,397.0,409.0,1,28892.1225,,oracle,28892.1225,433
1,1,,,,,28401.975000000002,386.0,397.0,1,28401.975000000002,,oracle,28401.975000000002,57
1,0,,,,,27941.445,376.0,386.0,1,27941.445,,oracle,27941.445,200
1,1,,,,,27875.835,372.0,376.0,1,27875.835,,oracle,27875.835,147
1,0,,,,,27742.86,368.0,372.0,1,27742.86,,oracle,27742.86,107
1,7,,,,,27691.5225,360.0,368.0,1,27691.5225,,oracle,27691.5225,300
1,0,,,,,27513.015,349.0,360.0,1,27513.015,,oracle,27513.015,313
1,3,,,,,27440.7825,342.0,349.0,1,27440.7825,,oracle,27440.7825,146
1,2,,,,,27202.927499999998,335.0,342.0,1,27202.927499999998,,oracle,27202.927499999998,313
1,3,,,,,26718.847499999996,327.0,335.0,1,26718.847499999996,,oracle,26718.847499999996,300
1,3,,,,,26245.335,323.0,327.0,1,26245.335,,oracle,26245.335,260
1,3,,,,,25866.1725,319.0,323.0,1,25866.1725,,oracle,25866.1725,223
1,4,,,,,25286.46,310.0,319.0,1,25286.46,,oracle,25286.46,326
1,4,,,,,24611.159999999996,305.0,310.0,1,24611.159999999996,,oracle,24611.159999999996,146
1,4,,,,,24604.11,295.0,305.0,1,24604.11,,oracle,24604.11,260
1,0,,,,,23912.4,289.0,295.0,1,23912.4,,oracle,23912.4,440
1,0,,,,,23819.1675,283.0,289.0,1,23819.1675,,oracle,23819.1675,210
1,3,,,,,23765.5875,276.0,283.0,1,23765.5875,,oracle,23765.5875,360
1,4,,,,,23631.0,271.0,276.0,1,23631.0,,oracle,23631.0,228
1,0,,,,,23203.0875,262.0,271.0,1,23203.0875,,oracle,23203.0875,463
1,1,,,,,23178.315,254.0,262.0,1,23178.315,,oracle,23178.315,223
1,1,,,,,23117.835,251.0,254.0,1,23117.835,,oracle,23117.835,369
1,5,,,,,23086.1475,245.0,251.0,1,23086.1475,,oracle,23086.1475,391
1,2,,,,,23064.3675,242.0,245.0,1,23064.3675,,oracle,23064.3675,283
1,1,,,,,23060.88,234.0,242.0,1,23060.88,,oracle,23060.88,416
1,3,,,,,23023.095,225.0,234.0,1,23023.095,,oracle,23023.095,75
1,2,,,,,22919.505,218.0,225.0,1,22919.505,,oracle,22919.505,107
1,0,,,,,22912.14,207.0,218.0,1,22912.14,,oracle,22912.14,298
1,2,,,,,22910.04,198.0,207.0,1,22910.04,,oracle,22910.04,100
1,2,,,,,22883.265,190.0,198.0,1,22883.265,,oracle,22883.265,369
1,2,,,,,22755.975,188.0,190.0,1,22755.975,,oracle,22755.975,483
1,1,,,,,22741.23,176.0,188.0,1,22741.23,,oracle,22741.23,132
1,1,,,,,22724.512499999997,170.0,176.0,1,22724.512499999997,,oracle,22724.512499999997,31
1,1,,,,,22507.0275,164.0,170.0,1,22507.0275,,oracle,22507.0275,176
1,0,,,,,22238.475,153.0,164.0,1,22238.475,,oracle,22238.475,413
1,2,,,,,22225.079999999998,144.0,153.0,1,22225.079999999998,,oracle,22225.079999999998,500
1,3,,,,,22118.775,138.0,144.0,1,22118.775,,oracle,22118.775,187
1,0,,,,,22118.4225,132.0,138.0,1,22118.4225,,oracle,22118.4225,212
1,0,,,,,22047.2775,123.0,132.0,1,22047.2775,,oracle,22047.2775,485
1,0,,,,,21882.585,120.0,123.0,1,21882.585,,oracle,21882.585,15
1,4,,,,,21124.425000000003,114.0,120.0,1,21124.425000000003,,oracle,21124.425000000003,183
1,3,,,,,20924.07,110.0,114.0,1,20924.07,,oracle,20924.07,239
1,0,,,,,20789.760000000002,102.0,110.0,1,20789.760000000002,,oracle,20789.760000000002,265
1,0,,,,,20771.595,100.0,102.0,1,20771.595,,oracle,20771.595,165
1,4,,,,,20649.96,99.0,100.0,1,20649.96,,oracle,20649.96,207
1,0,,,,,20622.945,91.0,99.0,1,20622.945,,oracle,20622.945,1
1,0,,,,,20485.4175,83.0,91.0,1,20485.4175,,oracle,20485.4175,498
1,1,,,,,20326.357500000002,76.0,83.0,1,20326.357500000002,,oracle,20326.357500000002,339
1,5,,,,,20252.25,67.0,76.0,1,20252.25,,oracle,20252.25,377
1,0,,,,,19999.0875,64.0,67.0,1,19999.0875,,oracle,19999.0875,352
1,1,,,,,19905.945,55.0,64.0,1,19905.945,,oracle,19905.945,232
1,3,,,,,19892.6175,50.0,55.0,1,19892.6175,,oracle,19892.6175,194
1,0,,,,,19861.387499999997,45.0,50.0,1,19861.387499999997,,oracle,19861.387499999997,148
1,1,,,,,19856.0775,35.0,45.0,1,19856.0775,,oracle,19856.0775,198
1,0,,,,,19802.625,30.0,35.0,1,19802.625,,oracle,19802.625,326
1,1,,,,,19782.1275,22.0,30.0,1,19782.1275,,oracle,19782.1275,33
1,0,,,,,19684.965,17.0,22.0,1,19684.965,,oracle,19684.965,291
1,0,,,,,19680.892499999998,10.0,17.0,1,19680.892499999998,,oracle,19680.892499999998,63
1,2,,,,,19649.805,6.0,10.0,1,19649.805,,oracle,19649.805,446
1,0,,,,,19617.824999999997,0.0,6.0,1,19617.824999999997,,oracle,19617.824999999997,240
0,0,,LOW,NEW,LOW,2543.9700000000003,450.0,450.0,0,0.0,0.26785714285714285,agent,0.0,0
0,0,2,LOW,RECURRING,LOW,20622.945,450.0,450.0,1,22320.0,0.268389662027833,agent,0.0,1
0,0,,HIGH,NEW,LOW,2641.605,450.0,450.0,0,0.0,0.2689243027888446,agent,0.0,2
0,3,,HIGH,RECURRING,LOW,4304.985,450.0,450.0,0,0.0,0.26946107784431134,agent,0.0,3
1,0,2,HIGH,NEW,LOW,13401.232500000002,448.0,450.0,1,5400.0,0.26946107784431134,agent,5400.0,3
0,1,,LOW,RECURRING,LOW,8236.2225,448.0,448.0,0,0.0,0.26946107784431134,agent,0.0,3
0,0,,LOW,RECURRING,LOW,15041.235,448.0,448.0,0,0.0,0.2688,agent,0.0,4
0,2,,HIGH,NEW,LOW,18259.7775,448.0,448.0,0,0.0,0.2688,agent,0.0,4
0,0,,HIGH,NEW,LOW,5509.215,448.0,448.0,0,0.0,0.26987951807228916,agent,0.0,6
0,0,,LOW,NEW,LOW,10488.307499999999,448.0,448.0,0,0.0,0.27096774193548384,agent,0.0,8
0,2,,LOW,RECURRING,LOW,13264.612500000001,448.0,448.0,0,0.0,0.2720647773279352,agent,0.0,10
0,1,,LOW,RECURRING,LOW,4144.8375,448.0,448.0,0,0.0,0.27261663286004056,agent,0.0,11
0,0,2,LOW,RECURRING,LOW,2695.455,448.0,448.0,1,3000.0,0.27261663286004056,agent,0.0,11
0,0,,HIGH,RECURRING,LOW,5385.7875,448.0,448.0,0,0.0,0.27317073170731704,agent,0.0,12
0,1,,HIGH,NEW,LOW,16775.1225,448.0,448.0,0,0.0,0.27317073170731704,agent,0.0,12
0,3,2,LOW,RECURRING,LOW,12991.942500000001,448.0,448.0,1,14400.0,0.27372708757637476,agent,0.0,13
0,2,,HIGH,RECURRING,LOW,2190.4725,448.0,448.0,0,0.0,0.27372708757637476,agent,0.0,13
1,1,1,LOW,NEW,LOW,5322.7425,446.0,448.0,1,5000.0,0.27372708757637476,agent,5000.0,13
0,0,,LOW,NEW,LOW,6648.36,446.0,446.0,0,0.0,0.27372708757637476,agent,0.0,13
0,0,2,HIGH,NEW,LOW,3480.4125000000004,446.0,446.0,1,5400.0,0.2730612244897959,agent,0.0,14
0,0,,LOW,NEW,LOW,21882.585,446.0,446.0,0,0.0,0.27361963190184047,agent,0.0,15
0,1,,LOW,RECURRING,LOW,10102.3575,446.0,446.0,0,0.0,0.27361963190184047,agent,0.0,15
0,3,,HIGH,NEW,LOW,13119.974999999999,446.0,446.0,0,0.0,0.27361963190184047,agent,0.0,15
0,1,,LOW,NEW,LOW,2655.5625,446.0,446.0,0,0.0,0.27418032786885244,agent,0.0,16
0,1,,HIGH,NEW,LOW,4237.575000000001,446.0,446.0,0,0.0,0.27474332648870636,agent,0.0,17
0,0,,HIGH,NEW,LOW,11456.5425,446.0,446.0,0,0.0,0.27474332648870636,agent,0.0,17
0,2,,LOW,RECURRING,LOW,10025.130000000001,446.0,446.0,0,0.0,0.27530864197530863,agent,0.0,18
0,1,,LOW,NEW,LOW,2259.6375,446.0,446.0,0,0.0,0.2758762886597938,agent,0.0,19
0,0,,LOW,RECURRING,LOW,4539.7425,446.0,446.0,0,0.0,0.2758762886597938,agent,0.0,19
0,1,,HIGH,NEW,LOW,14012.564999999999,446.0,446.0,0,0.0,0.2764462809917355,agent,0.0,20
0,2,,HIGH,NEW,LOW,2619.2250000000004,446.0,446.0,0,0.0,0.27701863354037265,agent,0.0,21
0,0,,LOW,NEW,LOW,2331.8325,446.0,446.0,0,0.0,0.27701863354037265,agent,0.0,21
0,1,,LOW,NEW,LOW,5276.4375,446.0,446.0,0,0.0,0.27701863354037265,agent,0.0,21
0,0,,HIGH,RECURRING,LOW,5162.0775,446.0,446.0,0,0.0,0.27759336099585064,agent,0.0,22
0,1,,LOW,RECURRING,LOW,9807.675,446.0,446.0,0,0.0,0.27759336099585064,agent,0.0,22
0,2,,LOW,RECURRING,LOW,4488.9525,446.0,446.0,0,0.0,0.2781704781704782,agent,0.0,23
0,0,,HIGH,NEW,LOW,5675.385,446.0,446.0,0,0.0,0.2781704781704782,agent,0.0,23
0,1,,LOW,NEW,LOW,17101.050000000003,446.0,446.0,0,0.0,0.2781704781704782,agent,0.0,23
0,3,,LOW,NEW,LOW,7001.700000000001,446.0,446.0,0,0.0,0.2781704781704782,agent,0.0,23
0,2,,LOW,RECURRING,LOW,2366.7749999999996,446.0,446.0,0,0.0,0.27875,agent,0.0,24
1,0,2,HIGH,NEW,LOW,17827.3125,441.0,446.0,1,14160.0,0.27875,agent,14160.0,24
0,4,,LOW,NEW,LOW,8813.0775,441.0,441.0,0,0.0,0.27875,agent,0.0,24
0,3,,LOW,NEW,LOW,8060.7525000000005,441.0,441.0,0,0.0,0.27875,agent,0.0,24
0,1,,HIGH,NEW,LOW,8703.210000000001,441.0,441.0,0,0.0,0.27875,agent,0.0,24
0,2,,LOW,NEW,LOW,2043.4875000000002,441.0,441.0,0,0.0,0.2762004175365344,agent,0.0,25
0,3,,HIGH,RECURRING,LOW,11143.664999999999,441.0,441.0,0,0.0,0.2762004175365344,agent,0.0,25
0,1,2,LOW,NEW,LOW,6986.467500000001,441.0,441.0,1,11160.0,0.2762004175365344,agent,0.0,25
0,0,,HIGH,NEW,LOW,5383.8375,441.0,441.0,0,0.0,0.27677824267782425,agent,0.0,26
0,3,,LOW,NEW,LOW,7023.2325,441.0,441.0,0,0.0,0.27677824267782425,agent,0.0,26
0,1,,LOW,RECURRING,LOW,2149.05,441.0,441.0,0,0.0,0.27677824267782425,agent,0.0,26
0,2,,LOW,RECURRING,LOW,9949.26,441.0,441.0,0,0.0,0.27677824267782425,agent,0.0,26
0,3,,LOW,NEW,LOW,2519.3925,441.0,441.0,0,0.0,0.27735849056603773,agent,0.0,27
0,1,,HIGH,NEW,LOW,10551.2475,441.0,441.0,0,0.0,0.27735849056603773,agent,0.0,27
0,2,,LOW,NEW,LOW,13005.885,441.0,441.0,0,0.0,0.27735849056603773,agent,0.0,27
1,0,2,LOW,NEW,LOW,12089.932499999999,438.0,441.0,1,8400.0,0.27735849056603773,agent,8400.0,27
0,1,,LOW,NEW,LOW,6149.535,438.0,438.0,0,0.0,0.2760504201680672,agent,0.0,28
0,0,,LOW,RECURRING,LOW,19237.9425,438.0,438.0,0,0.0,0.2760504201680672,agent,0.0,28
0,2,2,LOW,RECURRING,LOW,11558.8575,438.0,438.0,1,13800.0,0.2760504201680672,agent,0.0,28
0,0,,LOW,RECURRING,LOW,7143.51,438.0,438.0,0,0.0,0.2766315789473684,agent,0.0,29
0,1,,LOW,NEW,LOW,18742.0425,438.0,438.0,0,0.0,0.2766315789473684,agent,0.0,29
0,3,,HIGH,NEW,LOW,11916.9525,438.0,438.0,0,0.0,0.2766315789473684,agent,0.0,29
0,1,2,LOW,RECURRING,LOW,6981.75,438.0,438.0,1,8400.0,0.2772151898734177,agent,0.0,30
0,1,,LOW,NEW,LOW,22724.512499999997,438.0,438.0,0,0.0,0.27780126849894293,agent,0.0,31
0,1,,HIGH,RECURRING,LOW,7826.61,438.0,438.0,0,0.0,0.27838983050847455,agent,0.0,32
0,1,2,LOW,NEW,LOW,19782.1275,438.0,438.0,1,22200.0,0.2789808917197452,agent,0.0,33
0,3,,LOW,NEW,LOW,10404.42,438.0,438.0,0,0.0,0.2789808917197452,agent,0.0,33
0,0,,HIGH,RECURRING,LOW,7655.789999999999,438.0,438.0,0,0.0,0.2789808917197452,agent,0.0,33
0,2,,HIGH,NEW,LOW,7973.3925,438.0,438.0,0,0.0,0.2795744680851064,agent,0.0,34
0,0,,LOW,RECURRING,LOW,6035.4525,438.0,438.0,0,0.0,0.2795744680851064,agent,0.0,34
0,1,,HIGH,NEW,LOW,2319.5775,438.0,438.0,0,0.0,0.2795744680851064,agent,0.0,34
0,2,,LOW,RECURRING,LOW,5150.835,438.0,438.0,0,0.0,0.2801705756929637,agent,0.0,35
0,1,,LOW,NEW,LOW,6992.6775,438.0,438.0,0,0.0,0.2801705756929637,agent,0.0,35
0,0,,LOW,NEW,LOW,14968.5225,438.0,438.0,0,0.0,0.28076923076923077,agent,0.0,36
0,2,,LOW,RECURRING,LOW,8412.8025,438.0,438.0,0,0.0,0.28076923076923077,agent,0.0,36
0,3,,HIGH,NEW,LOW,17106.96,438.0,438.0,0,0.0,0.28076923076923077,agent,0.0,36
1,1,2,HIGH,RECURRING,LOW,10268.82,437.0,438.0,1,3000.0,0.28076923076923077,agent,3000.0,36
