accepted,arrival_idx,chosen_pv_id,context_commodity_value,context_customer_type,context_season,customer_max_wtp,inventory_after,inventory_before,offer_made,offered_price,pacing_budget,phase,revenue_inc,t
1,1,,,,,87784.14,437.0,450.0,1,87784.14,,oracle,87784.14,427
1,4,,,,,87067.57,425.0,437.0,1,87067.57,,oracle,87067.57,403
1,3,,,,,84167.68,414.0,425.0,1,84167.68,,oracle,84167.68,486
1,1,,,,,71534.33,402.0,414.0,1,71534.33,,oracle,71534.33,124
1,2,,,,,66189.42,391.0,402.0,1,66189.42,,oracle,66189.42,488
1,5,,,,,65543.82,380.0,391.0,1,65543.82,,oracle,65543.82,304
1,0,,,,,63074.46,370.0,380.0,1,63074.46,,oracle,63074.46,498
1,1,,,,,62287.04,360.0,370.0,1,62287.04,,oracle,62287.04,175
1,2,,,,,61540.85,348.0,360.0,1,61540.85,,oracle,61540.85,202
1,7,,,,,61152.65,338.0,348.0,1,61152.65,,oracle,61152.65,157
1,0,,,,,59720.74,327.0,338.0,1,59720.74,,oracle,59720.74,479
1,1,,,,,58393.69,319.0,327.0,1,58393.69,,oracle,58393.69,161
1,3,,,,,57986.57,308.0,319.0,1,57986.57,,oracle,57986.57,344
1,6,,,,,56742.44,296.0,308.0,1,56742.44,,oracle,56742.44,27
1,1,,,,,56546.37,285.0,296.0,1,56546.37,,oracle,56546.37,431
1,5,,,,,56103.58,274.0,285.0,1,56103.58,,oracle,56103.58,313
1,5,,,,,55636.57,266.0,274.0,1,55636.57,,oracle,55636.57,297
1,0,,,,,52124.2,257.0,266.0,1,52124.2,,oracle,52124.2,270
1,7,,,,,51967.14,243.0,257.0,1,51967.14,,oracle,51967.14,99
1,0,,,,,51926.91,235.0,243.0,1,51926.91,,oracle,51926.91,225
1,0,,,,,50852.89,227.0,235.0,1,50852.89,,oracle,50852.89,303
1,1,,,,,50031.02,219.0,227.0,1,50031.02,,oracle,50031.02,374
1,1,,,,,48722.05,210.0,219.0,1,48722.05,,oracle,48722.05,181
1,1,,,,,47903.03,204.0,210.0,1,47903.03,,oracle,47903.03,291
1,0,,,,,46720.33,196.0,204.0,1,46720.33,,oracle,46720.33,300
1,4,,,,,46633.24,188.0,196.0,1,46633.24,,oracle,46633.24,142
1,1,,,,,44871.07,180.0,188.0,1,44871.07,,oracle,44871.07,470
1,3,,,,,44810.28,173.0,180.0,1,44810.28,,oracle,44810.28,439
1,0,,,,,44689.87,165.0,173.0,1,44689.87,,oracle,44689.87,334
1,1,,,,,44671.7,155.0,165.0,1,44671.7,,oracle,44671.7,93
1,3,,,,,44437.5,141.0,155.0,1,44437.5,,oracle,44437.5,447
1,3,,,,,43954.69,132.0,141.0,1,43954.69,,oracle,43954.69,331
1,3,,,,,43878.41,124.0,132.0,1,43878.41,,oracle,43878.41,481
1,0,,,,,43820.24,116.0,124.0,1,43820.24,,oracle,43820.24,120
1,1,,,,,43147.84,110.0,116.0,1,43147.84,,oracle,43147.84,277
1,3,,,,,42792.35,101.0,110.0,1,42792.35,,oracle,42792.35,458
1,3,,,,,42585.3,92.0,101.0,1,42585.3,,oracle,42585.3,247
